Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,52.55%,52.55242429673672
nvidia_deepseek_ai_deepseek_r1_0528,literature,53.20%,53.20342905819416
nvidia_deepseek_ai_deepseek_r1_0528,news,56.84%,56.84370815753937
nvidia_ai21labs_jamba_1_5_large_instruct,academic,52.55%,52.55242429673672
nvidia_ai21labs_jamba_1_5_large_instruct,literature,53.20%,53.20342905819416
nvidia_ai21labs_jamba_1_5_large_instruct,news,56.84%,56.84370815753937
nvidia_meta_llama_3_3_70b_instruct,academic,52.55%,52.55242429673672
nvidia_meta_llama_3_3_70b_instruct,literature,53.20%,53.20342905819416
nvidia_meta_llama_3_3_70b_instruct,news,56.84%,56.84370815753937
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,52.55%,52.55242429673672
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,53.20%,53.20342905819416
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,56.84%,56.84370815753937
nvidia_qwen_qwq_32b,academic,52.55%,52.55242429673672
nvidia_qwen_qwq_32b,literature,53.20%,53.20342905819416
nvidia_qwen_qwq_32b,news,56.84%,56.84370815753937
nvidia_google_gemma_2_27b_it,academic,52.55%,52.55242429673672
nvidia_google_gemma_2_27b_it,literature,53.20%,53.20342905819416
nvidia_google_gemma_2_27b_it,news,56.84%,56.84370815753937
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,52.55%,52.55242429673672
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,53.20%,53.20342905819416
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,56.84%,56.84370815753937
nvidia_deepseek_ai_deepseek_v3_1,academic,52.55%,52.55242429673672
nvidia_deepseek_ai_deepseek_v3_1,literature,53.20%,53.20342905819416
nvidia_deepseek_ai_deepseek_v3_1,news,56.84%,56.84370815753937
nvidia_openai_gpt_oss_120b,academic,52.55%,52.55242429673672
nvidia_openai_gpt_oss_120b,literature,53.20%,53.20342905819416
nvidia_openai_gpt_oss_120b,news,56.84%,56.84370815753937
nvidia_moonshotai_kimi_k2_instruct,academic,52.55%,52.55242429673672
nvidia_moonshotai_kimi_k2_instruct,literature,53.20%,53.20342905819416
nvidia_moonshotai_kimi_k2_instruct,news,56.84%,56.84370815753937
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,52.55%,52.55242429673672
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,53.20%,53.20342905819416
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,56.84%,56.84370815753937
nvidia_writer_palmyra_creative_122b,academic,52.55%,52.55242429673672
nvidia_writer_palmyra_creative_122b,literature,53.20%,53.20342905819416
nvidia_writer_palmyra_creative_122b,news,56.84%,56.84370815753937
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,52.55%,52.55242429673672
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,53.20%,53.20342905819416
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,56.84%,56.84370815753937
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,52.55%,52.55242429673672
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,53.20%,53.20342905819416
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,56.84%,56.84370815753937
