text,translated,backtranslated,similarity_score
Ablekuma North Parliament Election: The implication of NDC's Ewurabena Aubynn's win.,Ìdìbò Ilé Ìgbìmọ̀ Aṣòfin Ablekuma North: Ìyọrísí ìṣẹ́gun Ewurabena Aubynn ti NDC.,Ablekuma North Assembly Election: The result was a victory for Ewurabena Aubynn of the NDC.,0.8871855735778809
Asante Kotoko's game against Kwara United won't be a walkover – Sarfo Duku.,"Ikọ̀ Asante Kotoko kò ní lè gba ààyè láti lọ síbi tí wọ́n bá fẹ́ lọ, bí wọn bá ń bá Kwara United jà  Sarfo Duku.",Asante Kotoko will not be able to get a free transfer if they play Kwara United at Sarfo Duku.,0.7041898369789124
At least 13 drown fleeing armed men in northwest Nigeria.,Ó kéré tán àwọn ọkùnrin mẹ́tàlá tí wọ́n ń sá lọ ní àríwá ìwọ̀ oòrùn Nàìjíríà ló rì sínú omi.,At least 13 men drowned while trying to flee northwestern Nigeria.,0.8965402841567993
Kumawu MP urges Parliament to act on crisis in Ghana’s prisons.,Aṣojú ìjọba Kumawu rọ ilé ìgbìmọ̀ aṣòfin láti gbé ìgbésẹ̀ lórí ìṣòro tó wà nínú ọgbà ẹ̀wọ̀n Ghana.,The Kumawu government representative urged parliament to take action on the prison crisis in Ghana.,0.8957704901695251
"Diddy declines to testify, praises judge as sex trafficking trial nears end.","Diddy kò gbà láti jẹ́rìí, ó ń yin adájọ́ bí ẹjọ́ nípa ìfipábánilòpọ̀ ṣe ń sún mọ́ òpin.","Diddy refuses to testify, praising the judge as the rape case nears its end.",0.7737463116645813
'Asibolanga' and all the 2022 beef songs that took the internet by storm.,'Asibolanga' àti gbogbo orin ẹran ọ̀sìn ọdún 2022 tí ó gba ayélujára lọ́wọ́ ìjì.,'Asibolanga' and all the animal songs of 2022 that took the internet by storm.,0.8725205659866333
'Act now before the situation deteriorates' – NDC Spain branch tells Mahama amid rising 'insecurity’.,'Ṣe nkan báyìí kí ipò náà tó bàjẹ́'  Ẹ̀ka NDC Spain sọ fún Mahama ní àárín 'àìní ààbò' tó ń pọ̀ sí i.,'Do something now before the situation gets worse' NDC Spain urges Mahama amid growing 'insecurity'.,0.8358315229415894
Was Jose Mourinho right?: Unpacking the lows of Dele Alli’s football career.,Ṣé Jose Mourinho tòótọ́?: Ó ń tú àwọn ìsàlẹ̀ òkè nínú eré-ìdárayá Dele Alli?,Is Jose Mourinho real?: He is tearing up the mountains in Dele Alli's game?,0.7098163366317749
Rema's Calm Down falls off Billboard Hot 100 after setting new record.,Calm Down ti Rema ṣubu kuro ni Billboard Hot 100 lẹhin ti o ṣeto igbasilẹ tuntun.,Rema's Calm Down dropped off the Billboard Hot 100 after setting a new record.,0.9781920909881592
'I have always wanted a girl' - Rihanna opens up on pressure of raising two sons.,'Ọmọbìnrin ni mo máa ń fẹ́' - Rihanna sọ bó ṣe ń ṣe é tó bá di pé kóun tọ́ ọmọkùnrin méjì.,'I want a girl' - Rihanna describes what it's like to raise two boys.,0.8531294465065002
