text,source,translated,backtranslated,similarity_score
"Local government minister swears in new board members for ILGS, LUSPA.",news titles,"Minisita fún ìjọba ìbílẹ̀ búra àwọn ọmọ ẹgbẹ́ ìgbìmọ̀ tuntun fún ILGS, LUSPA.","The Minister of Local Government swears in the members of the new committee for ILGS, LUSPA.",0.8442838191986084
"Farmers to receive $5,040 per tonne of cocoa for 2025/2026 season.",news titles,"Awon agbe lati gba $5,040 fun tone kan ti koko fun igba 2025/2026.","Farmers to receive $5,040 per ton of cocoa for the 2025/2026 season.",0.9853290319442749
Obofour and Agradaa must settle their beef in court instead of social media – Onegod.,news titles,Obofour àti Agradaa gbọdọ ṣe àwọn àròpọ̀ wọn nílé-ẹjọ́ dídájọ́ kì í ṣe lórí media àwùjọ – Onegod.,Obofour and Agradaa should be making their claims in court and not on social media  Onegod.,0.8216784596443176
"I'm saying, this after the first budget has been presented, so check the allocations.",news content,"N ó sọ, èyí lẹ́hìn tí a ti ṣe àkọ́kọ́ ìsúnú owó, nítorí náà ṣàyẹ̀wò àwọn ìpín owó","I would say, this is after we've done the initial funding, so consider the funding allocations.",0.6928281784057617
"It strengthens their hand in demanding climate finance, asserting legal claims for damages, and holding high-emitting nations accountable.",news content,"Ó fún wọn ní agbára láti béèrè ìsúnà ojú ọjọ, láti fi ẹ̀tọ́ òfin jáde fún ìbẹ̀rù, àti láti mú orílẹ̀-èdè tí ń ta ìdààmú rọ̀lẹ̀ sí ojú ọ̀nà òfin.","It gave them the power to ask for weather, to issue laws for fear, and to bring a troubled nation to the path of law.",0.4002107083797455
Fadil Yusif outwitted his colleagues in the male 1km race to win the battle.,news content,Fadil Yusif ṣe àṣeju àwọn ọmọ ẹgbẹ́ rẹ̀ ní ìdíje ẹsẹ̀ 1km àwọn ọkùnrin láti gba ìdíje náà.,Fadil Yusif led his teammates in the men's 1km race to win the competition.,0.7530114054679871
Do you know the last thing that went through my mind seconds before I got shot? Me.,movies,Ṣé o mọ̀ ohun t’ó kọ́rìí ṣáájú kí wọ́n yì mí l’ọfà? Mo mọ̀.,Do you know what I witnessed before I was beaten?,0.371229350566864
"All right, how are you?",movies,"Ó dára, bawo ni?","Well, how?",0.20366114377975464
"All right, take my car. Give it to him and tell him to ring me.",movies,"Ó dára, mú ọkọ̀ ayọ́kẹ́lẹ́ mi. Fún un ní ọkọ̀ ayọ́kẹ́lẹ́ náà kí ó sì sọ fún un pé kí ó pe mí.",Give him the car and tell him to call me.,0.7900276780128479
"Other people who are looking for jobs, if they hadn't won, then they will be parliamentary candidates who had worked for the party.",political monologue,"Awon eniyan miran ti won n wa ise, ti won ko ba ja, lona miran won yio je awon oludije asofin ti won ti se isẹ fun egbe na.","Other people who are looking for work, if not fighting, will be parliamentary candidates who have worked for the party.",0.7522287368774414
A government that wants to work at this can collaborate effectively with civil society.,political monologue,Ijoba ti o ba fẹ lati ṣiṣẹ ni eyi le ṣiṣẹpọ daradara pẹlu awujọ ọlàgbara.,A government that wants to work in this can work well with a civilized society.,0.7361830472946167
"A lot of new MPs are battling with campaign expenses and other challenges, so they need to be guided.",political monologue,"Ọ̀pọ̀lọpọ̀ àwọn ọmọ ilé ìgbìmọ̀ aṣòfin tuntun n tiraka pẹ̀lú ìnáwo ìdìbò àti àwọn ìṣòro míràn, nítorí náà wọ́n nílò ìtọ́ni.","Many new MPs are struggling with election expenses and other issues, so they need guidance.",0.8572737574577332
It's time to feed your faith and starve your doubts.,religious,Ó ti tó láti bọ́ ìgbàgbọ́ rẹ l'ojún àti pa ìyàlẹ́nu rẹ l'èé,It's enough to shake your faith and quench your wonder,0.52880859375
It's time to feed on the word of God.,religious,Ó ti tó láti jẹ̀ ọ̀rọ̀ Olórun,It is enough to eat the word of God,0.5712893605232239
Thanks be to God who causes us to triumph always by Christ Jesus.,religious,"Ọlọpe f'Ọlọrun ń jẹ, ẹni tí ó ma n mú wa ja nígbà gbogbo nípasẹ̀ Kristi Jesu.","But thanks be to God, who always leads us in battle ready for battle through Christ Jesus.",0.6263524889945984
"This man brain must be protected, he is powerful respect sir.",youtube comments,"Ọpọlọ ọkunrin yìí gbọdọ̀ dáàbò, ó lágbára ọ̀wọ̀ rẹ̀ sir","This man's brain must be protected, it is strong sir",0.8725717067718506
I am Ga and proud of the asante.,youtube comments,Mo jẹ Ga ati pe mo ni igogoro ninu asante,I am tall and I have a height in the grate,0.06835632771253586
Some of us Ga trace our lineage to some akan tribes.,youtube comments,Àwọn kan wa lára wa Ga tọ wa lati inu awọn ẹ̀yà Akan kan.,Some of us Ga were from some Akan tribes.,0.9414951205253601
