text,translated,backtranslated,similarity_score
Ablekuma North Parliament Election: The implication of NDC's Ewurabena Aubynn's win.,Ìbò Ìparílé Ablekuma North: Àbájáde ìṣẹ́gun ti Ewurabena Aubynn ti NDC.,Ablekuma North Final Election: The result of the victory of Ewurabena Aubynn of the NDC.,0.9253784418106079
Asante Kotoko's game against Kwara United won't be a walkover – Sarfo Duku.,Àwùjọ Asante Kotoko lòdì sí Kwara United kò ní jẹ́ ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò ààtò àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòà àtòàtò àtò àtòà àtòà àtòà àtò àtò àtòà.,Asante Kotoko vs. Kwara United will not be a party to the Kwara United Convention.,0.6813784241676331
At least 13 drown fleeing armed men in northwest Nigeria.,"Àwọn ọkùnrin tó ń gbéjà ko ara wọn lọ́nà ogun tó ń sá lọ ní àríwá ìwọ̀ oòrùn Nàìjíríà lọ́nà tó kéré jù lọ, tó jẹ́ mẹ́tàlá ló rì sínú omi.","The fighters, who were fleeing the northwestern part of Nigeria by the narrowest of routes, drowned 13.",0.7637064456939697
Kumawu MP urges Parliament to act on crisis in Ghana’s prisons.,Ààrẹ Kumawu rọ Ilé Ìgbìmọ̀ Ọ̀fin láti ṣe ohun kan lórí ìṣòro tó wà nínú àwọn ọgbà ẹ̀wọ̀n ní Gánà.,President Kumawu urged the Legislative Council to act on the prison situation in Ghana.,0.7150271534919739
"Diddy declines to testify, praises judge as sex trafficking trial nears end.","Diddy kọ̀ láti jẹ́rìí, ó yìn án nítorí pé ọ̀ràn ìbálòpọ̀ tó ń lọ lọ́wọ́ ló ń parí lọ.","Diddy refused to testify, praising her for ending her sexual affair.",0.7124230861663818
'Asibolanga' and all the 2022 beef songs that took the internet by storm.,'Asibolanga' àti gbogbo orin ẹran ọ̀sìn ọdún 2022 tó gba ayélujára láyè.,'Asibolanga' and all 2022 pet songs that are online.,0.6986705660820007
'Act now before the situation deteriorates' – NDC Spain branch tells Mahama amid rising 'insecurity’.,"""Ṣe ohun nísinsìnyí kí ipò nǹkan tó burú sí i""  Ẹ̀ka NDC ní Sípéènì sọ fún Mahama ní àkókò tí ""ìfọ̀kànbalẹ̀"" ń pọ̀ sí i.","""Act now to make matters worse"" the NDC in Spain told Mahama at a time of ""increasing security"".",0.799159824848175
Was Jose Mourinho right?: Unpacking the lows of Dele Alli’s football career.,Ṣé Jose Mourinho ló tọ̀nà?: Ó ń ṣí àwọn ohun tó burú jù lọ nínú eré ìtàgé Dele Alli.,Is Jose Mourinho right?: He exposes the worst aspects of Dele Alli's play.,0.857776939868927
Rema's Calm Down falls off Billboard Hot 100 after setting new record.,Rema's Calm Down já kúrò nínú Billboard Hot 100 lẹ́yìn tí ó fi àkọsílẹ̀ tuntun sílẹ̀.,Rema's Calm Down dropped off the Billboard Hot 100 after it released a new record.,0.9736299514770508
'I have always wanted a girl' - Rihanna opens up on pressure of raising two sons.,"Rihanna sọ pé: ""Mo ti fẹ́ láti ní ọmọbìnrin kan nígbà gbogbo"".","""I've always wanted to have a daughter"", says Rihanna.",0.7704131007194519
