text,source,translated
"These are people who certainly have not proved that they are worthy of the trust that we repose in them. As far as this job is concerned, let me also indicate that when it comes to BECE, most of the decisions are taken by the Ghana Education Service. For example, the selection of supervisors and invigilators is done by the district exams officer, he explained. His comments come in the wake of a JoyNews Hotline investigation led by GH Probe’s Francisca Enchil, which uncovered disturbing levels of collusion at examination centres.",news,"[Abantu bali, abalishiba kwati tabakwata amano yabafyashi ababapeleka. Kuli chalo ichi, nshimfye ukuti pa BECE, mabungelo yamenshi yapangwa na Ghana Education Service. Kwa mfano, ukuchagua ba supervisor na invigilators, kwapangwa na district exams officer, alitontonkanya. Maukali ake yabafumine mu kufumya kwa JoyNews Hotline investigation ilipangwa na GH Probe’s Francisca Enchil, ilipangwa ukwabula ukwabula wa kushikana kwa mafunde ku masandaulo ya mafunde.]"
"A variety of socioeconomic and cultural factors were identified as major barriers to accessing and utilizing MHCS. Over half of the women surveyed cited poverty, illiteracy, restrictions from their husbands, the distance to health facilities, and long queues as reasons for not using services. Additionally, over a third of the women pointed to cultural practices within their communities as a cause for delays in seeking care. These findings reveal that addressing maternal health in this region requires more than just improving clinical services; it also means tackling deeply rooted societal and personal challenges that women face daily.",academic,"[Ndala zinga za kuchita na za utamaduni zilichitika kuwa vikwazo vikuu vya kupata na kutumia MHCS. Zaidi ya nusu ya wanawake waliochunguzwa walitaja umaskini, ujuzi usio na elimu, vikwazo kutoka kwa mume, umbali wa vituo vya afya, na mizunguko ndefu kama sababu za kutotumia huduma. Zaidi ya hayo, zaidi ya theluthi moja ya wanawake walitaja mazoea ya kitamaduni ndani ya jamii zao kuwa sababu ya kupunguza kwa muda wa kutafuta huduma. Matokeo haya yanaonyesha kwamba kushughulikia afya ya uzazi katika eneo hili kunahitaji zaidi ya kuboresha tu huduma za kimatibabu; pia inamaanisha kushughulikia changamoto za kijamii na za kibinafsi zilizo na mizizi kwa kina ambazo wanawake hukabiliana nazo kila siku.]"
"Despite his shortcomings, Unoka was a talented musician. He was a tall but very thin man with a slight stoop and a mournful look, which would disappear when he was drinking or playing his flute. His happiest moments came in the months after the harvest, when the village musicians would retrieve their instruments from above the fireplace. Unoka would join them, his face filled with pure joy and peace. Sometimes, other villages would invite Unoka and his band to teach them their tunes, and they would stay for several months, sharing their music.",literature,"[Pa shupitilo lwe, Unoka alile mwimbashi wapwa. Alile mwana wakulu koma mwine ukulu, na kutwala kwa kushupitila, na kuoneka kwa kushupitila, ambacho kwalishala ukupita pano alipwa kula kwa kula au kulimba flute yake. Masiku yake yabwino yalitwalilwa mu mwezi ulo ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita pano ukupita"
"At the Derby Avenue RC Basic School and St. George’s Anglican Basic School in Accra, invigilators were captured openly demanding GH¢60 daily tokens, supervisors pocketed envelopes of GH¢400, and candidates were asked to contribute to an Aseda Offertory. John Kapi stressed that once WAEC provides feedback on such incidents, it is the responsibility of the Ghana Education Service (GES) to take decisive action. And so when these issues come up, once the feedback goes to them, we [WAEC] expect that they would react appropriately and ensure that the right action is taken against the people, he said.",news,"[Pa Derby Avenue RC Basic School na St. George’s Anglican Basic School mu Accra, abamisheli bali kubomfya bapasha GH¢60 kila siku, abasamula bali kubomfya mifuko ya GH¢400, na abantu bali kubomfya kuchelela kwa Aseda Offertory. John Kapi alisambisha kwati uku WAEC itampa foni kwa mizani iyi, ni wajibu wa Ghana Education Service (GES) kuchukua kuchita kwa maana. Na kwa hiyo, uku mizani iyi ikafika, uku foni ikafika kwa bo, tuna [WAEC] tuchite kwati bali kuchita vyema na kuchita kwa maana kwa abantu.]"
"For rural communities in Ghana, especially in the Kumbungu district, access to and use of maternal healthcare services (MHCS) remain a significant challenge. This study set out to explore the specific barriers preventing women from utilizing these services and to evaluate the quality of care provided. The research adopted a mixed-methods approach, combining both quantitative and qualitative data to get a comprehensive view of the situation. This phased design involved surveying 441 pregnant and postpartum women and conducting interviews with 20 healthcare providers. A facility checklist was also used to assess the state of clinics, including the availability of essential drugs and equipment.",academic,"[Ku mitundu ya kubepa mu Ghana, haswa mu masomo ya Kumbungu, kupata na kutumya mafunso ya bafyashi (MHCS) yalikwata amabala. Ichitundu ichi chikwata ku chita amabala yonse yaliyopa kubana abakashi kutumya mafunso yonse na kufikulwa ubwino wa mafunso yaliyopwa. Uchunguzi ulitumya njia ya kuchanganya, ichitambulisha data ya kubwata na ya kubwata kufikwa kwa mafunso yonse ya kufikwa. Njia ya kuchanganya ichi chikwata ku chita abakashi 441 abali bafyashi na abakashi ba kubepa na kufikwa na abafyashi 20. Ichitundu ichi chikwata ku chita mafunso yaliyopa kubana abakashi kutumya mafunso yonse na kufikwa ubwino wa mafunso yaliyopwa.]"
"Okonkwo was a man of great renown throughout his nine villages and even beyond, a fame built entirely on his own remarkable achievements. At just eighteen years old, he brought honor to his village by defeating Amalinze the Cat, a legendary wrestler who had been undefeated for seven years. Amalinze earned his nickname because his back never once touched the earth. The old men of the village considered Okonkwo's victory one of the fiercest fights they had ever seen.",literature,"[Okonkwo alikwata amano kubwa sana mu villages yake tisa na kufikisha kubwa sana, amano yaliyobanwa kabisa kwenye mafanikio yake yaliyo kubwa sana. Alikuwa na umri wa miaka kumi na nane tu, alileta utukufu kwenye kijiji chake kwa kumshinda Amalinze Mnyama, mshindani mashuhuri ambaye hakuwa ameshindwa kwa miaka saba. Amalinze alipata jina lake la utani kwa sababu mgongo wake haukutikisa dunia hata mara moja. Wazee wa kijiji walichukulia ushindi wa Okonkwo kuwa moja ya mapigano makali zaidi waliziona.]"
"Muntaka assured the committee of full logistical and secretariat support from the Ministry and urged them to partner with civil society organizations, development partners, and faith-based institutions in carrying out their work. He described the task as heavy but honorable, stressing that the people of Gbenyiri and surrounding communities were looking up to the committee as instruments of peace, reconciliation, and healing.",news,"[Muntaka alimfumya kamati kwamba atawapa usaidizi kamili wa usimamizi na sekretarieti kutoka kwa Wizara na akawatia moyo kuungana na mashirika ya kiraia, washirika wa maendeleo, na taasisi za kidini katika kufanya kazi yao. Alielezea kazi hiyo kuwa nzuri lakini ya heshima, akisisitiza kwamba watu wa Gbenyiri na jamii zinazozunguka walikuwa wakimtazama kamati kama zana za amani, upatanisho, na uponyaji.]"
"The study also shed light on significant facility-based challenges that compromise the quality of care. A key issue was the inadequate number of midwives, which likely contributes to the long queues women reported. Additionally, the absence of essential equipment and drugs was a major problem. For example, health service providers specifically recommended a greater number of trained midwives and the provision of critical logistics like ultrasound machines and proper delivery equipment to ensure effective and high-quality care.",academic,"[Ndimo tafika pali pali icalo kuonesha mizani ya masiku yalikwata amano yaku kufupisha ubungulushi wa bukali. Kali kwasu ilikuwa ukosefu wa bafyashi, ukosefu uwa bafyashi ukali pali pali icalo kupeleka kuwa na mizani ya masiku yalikwata amano. Pali pali icalo, ukosefu wa vifaa na madwala yalikuwa ndalama kubwa. Kwa mfano, abafupi ba kufupisha bukali balipanga ukali pali pali icalo kuwa na bafyashi abafupi na kufupisha vifaa vya bukali kama vile vifaa vya kufupisha bukali na vifaa vya kufupisha bukali vya kufupisha bukali.]"
"Okonkwo was an imposing figure, tall and massive with a severe expression, a result of his bushy eyebrows and wide nose. His breathing was so heavy that his family could hear it from their own houses when he slept. When he walked, his heels barely touched the ground, making him seem poised to pounce on someone—which he often did. He had a slight stammer, and in moments of anger, he would resort to his fists when words failed him. He had no patience for men who were not successful, and this sentiment stemmed from his deep-seated shame for his own father.",literature,"[Okonkwo alikwata amano, aliyelelewa na mkubwa sana na uso wa kutisha, ni matokeo ya mabega yake ya nywele na pua pana. Kupumua kwake kilikuwa kivyo kizito kwamba familia yake ilikuwa inasikia kutoka kwenye nyumba zao wakati alipokuwa amelala. Wakati alipokuwa akitembea, viatu vyake havikuwa vikigusa ardhini, na kumfanya kuonekana kama anayekusanyika kumpiga mtu—jambo ambalo alilifanya mara nyingi. Alikuwa na kikohozi kidogo, na katika nyakati za hasira, alikwenda kwenye mikono yake wakati maneno yalimkosea. Hakuna subira kwa wanaume ambao hawakuwa wenye mafanikio, na hisia hii ilianza kutokana na aibu yake ya kina kwa ajili ya baba yake.]"
"The West African Examinations Council (WAEC) says officials implicated in acts of corruption during the Basic Education Certificate Examination (BECE) will be blacklisted from ever taking part in its activities again. Speaking on JoyNews’ PM Express on September 8, WAEC’s Director of Public Affairs, John Kapi, said the Council cannot continue to work with individuals who have betrayed the trust placed in them during national examinations.",news,[Ndola ya West African Examinations Council (WAEC) ilatasha kwati ofisini abalanda abalanda mu mafwilisho ya ukulungisha mafwilisho mu BECE baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyanganepo kubanika kwa ukulungisha mafwilisho baliyangan
