text,source,translated,backtranslated
"These are people who certainly have not proved that they are worthy of the trust that we repose in them. As far as this job is concerned, let me also indicate that when it comes to BECE, most of the decisions are taken by the Ghana Education Service. For example, the selection of supervisors and invigilators is done by the district exams officer, he explained. His comments come in the wake of a JoyNews Hotline investigation led by GH Probe’s Francisca Enchil, which uncovered disturbing levels of collusion at examination centres.",news,"[Ndi mmadụ a abụghị ndị a na-akwado na ụzọ kwụ ọtọ, na ha enweghị ihe a na-akwado na ụzọ kwụ ọtọ. Ka m bụrụ onye na-akọwa ihe gbasara ọrụ a, ka m kwa na-akọwa na mgbe ọ na-abịa na BECE, ọtụtụ n'ime mkpebi a na-eme bụ Ghana Education Service. Dịka ọmụmaatụ, nhọpụta nke ndị na-echekwa na ndị na-ahụ maka ịkpọ ụka na-eme site n'aka onye isi ọrụ ịkpọ ụka nke mpaghara, ka o kọwara. Akụkọ ya bịara mgbe JoyNews Hotline nyocha nke GH Probe’s Francisca Enchil duziri, nke kpughere ọkwa dị egwu nke njikọ aka na ụlọ ịkpọ ụka.]","[These people are not directly supported, and they have nothing to be directly supported. Let me be a bit more descriptive about this project, and let me explain that when it comes to BECE, most of the decisions are made by the Ghana Education Service. For example, the appointment of custodians and call center managers is done by the local call center manager, she explained. Her report came after a JoyNews Hotline investigation by GH Provost Francisca Enchil du, which revealed alarming levels of involvement in the call center.]"
"A variety of socioeconomic and cultural factors were identified as major barriers to accessing and utilizing MHCS. Over half of the women surveyed cited poverty, illiteracy, restrictions from their husbands, the distance to health facilities, and long queues as reasons for not using services. Additionally, over a third of the women pointed to cultural practices within their communities as a cause for delays in seeking care. These findings reveal that addressing maternal health in this region requires more than just improving clinical services; it also means tackling deeply rooted societal and personal challenges that women face daily.",academic,"[Ụdị dị iche iche nke ihe ndị dị ndụ na ọdịbendị dị ka ihe mgbochi dị ukwuu na ịnweta na iji MHCS. Karịa nkeji nke mbụ nke ụmụ nwanyị ndị a na-ajụ ajụ ọnụ kwuru ịda ogbenye, ịghara ịgụ na ịgụ akwụkwọ, nkịta site n'aka di ha, ụzọ dị anya na ebe ahụike, na ndị mmadụ dị ogologo dị ka ihe kpatara ha ịjụ iji ọrụ. Ọzọkwa, karịa otu ụzọ n'ụzọ atọ nke ụmụ nwanyị ndị a na-ajụ ajụ ọnụ gosiri omume ọdịbendị n'ime obodo ha dị ka ihe kpatara ọchịchịrị na ịchọ nlekọta. Ihe ndị a chọpụtara na-egosi na ịlụso ahụike nne ọgụ na mpaghara a chọrọ ihe karịa ka na-emeziwanye ọrụ ụlọ ọgwụ; ọ pụkwara ịbụ ịlụso ihe mgbochi ndị dị omimi nke mmekọrịta mmadụ na ibe ya na ihe mgbochi ndị mmadụ na-ahụ kwa kwa ndị inyom na-eche kwa kwa ndụmọdụ.]","[Biological and cultural diversity as major barriers to access and use of MHCS. More than the first quarter of women interviewed cited poverty, illiteracy, dogs from their husbands, distance to health facilities, and long people as reasons for their refusal to use services. Furthermore, more than a third of women interviewed cited cultural practices in their communities as reasons for darkness and lack of care. These findings suggest that combating maternal health in this region requires more than improving hospital services; it may also be combating deep-seated social barriers and barriers to peer engagement and women also feel isolated from counselors.]"
"Despite his shortcomings, Unoka was a talented musician. He was a tall but very thin man with a slight stoop and a mournful look, which would disappear when he was drinking or playing his flute. His happiest moments came in the months after the harvest, when the village musicians would retrieve their instruments from above the fireplace. Unoka would join them, his face filled with pure joy and peace. Sometimes, other villages would invite Unoka and his band to teach them their tunes, and they would stay for several months, sharing their music.",literature,"[Maọbụ na ọdịdị ya dị ala, Unoka bụ onye egwu dị ọgaranya. Ọ bụ nwoke dị ogologo mana dị nro nke ukwuu na ọnọdụ dị nro na anya dị ịta, nke ga-apụta mgbe ọ na-eri mmiri maọbụ na-egwu flute ya. Ọnụ ụtọ ya kachasị mma bịara n'ọnwa mgbe ịkọ mmiri, mgbe ndị egwu n'ụlọ dị n'obodo ga-ewepụta ngwá egwu ha n'elu ọkụ. Unoka ga-eso ha, ọnụ ya dị ọnụ ụtọ dị ọcha na udo. Mgbe ụfọdụ, obodo ndị ọzọ ga-akpọ Unoka na ndị otu ya ka ha kụziere ha abụ ha, na ha ga-echi ọnwa ụfọdụ, kụziere egwu ha.]","[Or in his lowly form, Unoka was a rich musician. He was a tall but very gentle man with a gentle disposition and a sharp eye, which would be apparent when he was drinking or playing his flute. His best flavor came in the moonlight after the rain, when musicians in the houses of the town would bring out their instruments over the fire. Unoka would follow them, his mouth was a sweet pure and peaceful one. Then, other towns would call Unoka and his band to teach them, and they would come in some months, teach them their music.]"
"At the Derby Avenue RC Basic School and St. George’s Anglican Basic School in Accra, invigilators were captured openly demanding GH¢60 daily tokens, supervisors pocketed envelopes of GH¢400, and candidates were asked to contribute to an Aseda Offertory. John Kapi stressed that once WAEC provides feedback on such incidents, it is the responsibility of the Ghana Education Service (GES) to take decisive action. And so when these issues come up, once the feedback goes to them, we [WAEC] expect that they would react appropriately and ensure that the right action is taken against the people, he said.",news,"[N'ụlọ akwụkwọ Derby Avenue RC Basic na St. George’s Anglican Basic nke dị na Accra, a na-ahụ ndị na-ahụ maka ule na-achọ GH¢60 kwa ụbọchị dị ka ego, ndị na-ahụ maka ule na-awụnye akwụkwọ ozi GH¢400 n'ọkpọ ha, na ndị na-achọ asambodo a na-achọ ka ha rụọ ọrụ Aseda Offertory. John Kapi kpebiri na mgbe WAEC nyere akụkọ banyere ihe omume ndị a, ọ bụrụ na Ghana Education Service (GES) ga-eme ihe ngwa ngwa. Kwa hiv, mgbe ihe omume ndị a pụta, mgbe akụkọ ahụ gara ha, anyị [WAEC] chọrọ ka ha ree ozugbo na hụ na ihe ziri ezi emere megide ndị mmadụ, o kwuru.]","[At Derby Avenue RC Basic and St. Georges Anglican Basic schools in Accra, examiners are seen demanding GH¢60 daily as cash, examiners pouring GH¢400 letters into their bags, and certification applicants are required to perform Aseda Offertory. John Kapi decided that when WAEC gave reports on these incidents, if the Ghana Education Service (GES) would act immediately. And hiv, when these incidents come out, when the reports reach them, we [WAEC] want them to be sold immediately and ensure that the right thing is done against the people, he said.]"
"For rural communities in Ghana, especially in the Kumbungu district, access to and use of maternal healthcare services (MHCS) remain a significant challenge. This study set out to explore the specific barriers preventing women from utilizing these services and to evaluate the quality of care provided. The research adopted a mixed-methods approach, combining both quantitative and qualitative data to get a comprehensive view of the situation. This phased design involved surveying 441 pregnant and postpartum women and conducting interviews with 20 healthcare providers. A facility checklist was also used to assess the state of clinics, including the availability of essential drugs and equipment.",academic,"[Ọ dịghị mgbe ụmụ nwanyị nọ n'obodo dị na Ghana, ọkachasị na mpaghara Kumbungu, inweta na iji ọrụ ahụike nne (MHCS) bụ ihe ịma aka dị ukwuu. Nnyocha a malitere ịchọpụta ihe mgbochi pụrụ iche na-egbochi ụmụ nwanyị ịji ọrụ ndị a na ịkwa ụgwọ ọkwa nke ọrụ ahụike a na-enye. Nnyocha a jiri usoro mgbakọ na mwepụ, jikọta data zuru oke na nke dị mfe iji nweta echiche zuru oke nke ihe omere. Usoro a dị iche iche gụnyere ịtụle 441 nwanyị amụrụ na ndị dị ime na ịkparịta ụka na 20 ndị na-enye ọrụ ahụike. A jikwa ndepụta ụlọọgwụ iji nyochaa ọnọdụ nke klinik, gụnyere ịdị n'ọnọdụ nke ọgwụ dị mkpa na ngwá ọrụ.]","[Never before in Ghana's society, especially in Kumbungu district, women's access to and use of maternal health services (MHCS) has been a major challenge. This study set out to identify the specific barriers preventing women from accessing these services and charging the standard of care provided. This study used a mathematical model, combined with comprehensive and simplified data to get a complete picture of the phenomenon. This multi-method approach involved examining 441 pregnant and postpartum women and interviewing 20 health care providers."
"Okonkwo was a man of great renown throughout his nine villages and even beyond, a fame built entirely on his own remarkable achievements. At just eighteen years old, he brought honor to his village by defeating Amalinze the Cat, a legendary wrestler who had been undefeated for seven years. Amalinze earned his nickname because his back never once touched the earth. The old men of the village considered Okonkwo's victory one of the fiercest fights they had ever seen.",literature,"[Okonkwo bụ nwoke a ma ama nke ukwuu n'ofe obodo itoolu ya na n'akụkụ ndị ọzọ, aha ọma a na-achọpụta kpamkpam na ihe ịga nke ọma ya pụrụ iche. Mgbe ọ dị afọ iri na asatọ, ọ kụrụ obodo ya ume site n'ịmeri Amalinze the Cat, onye mgbagbu a ma ama onye enweghị onye meriri ya n'afọ asaa. Amalinze nwetara aha ya n'ihi na azụ ya anọghị ike kụọ ala. Ndị agadi nke obodo ahụ kwenyere na mmeri Okonkwo bụ otu n'ime ọgụ kachasị njọ ha hụrụ. ]","[Okonkwo was a very famous man across his nine villages and beyond, a reputation that was entirely determined by his exceptional success. At the age of eighteen, he inspired his village by defeating Amalinze the Cat, a famous boxer who had been unbeaten for seven years. Amalinze got his name because his back was not strong enough to hit the ground. The elders of the village believed that Okonkwo's victory was one of the four worst fights they had ever seen.]"
"Muntaka assured the committee of full logistical and secretariat support from the Ministry and urged them to partner with civil society organizations, development partners, and faith-based institutions in carrying out their work. He described the task as heavy but honorable, stressing that the people of Gbenyiri and surrounding communities were looking up to the committee as instruments of peace, reconciliation, and healing.",news,"[Muntaka kwanyere otu ahụ ùgwù maka nkwado ndi dị egwu na ndi dị ọnụ na ndi dị ọnụ site na Ministri na kpaliri ha ka ha jikọọ aka na òtù ndị mmadụ, ndị mmekọ mmepe, na ụlọ ụka na ime ọrụ ha. Ọ kọwara ọrụ ahụ dị ka ihe dị oke ọnụ ma dị nsọ, na-ekwupụta na ndị Gbenyiri na obodo ndị gbara ha gburugburu na-atụ anya otu ahụ dị ka ngwá ọrụ udo, mmegharị, na ọgwụgwọ.]","[Muntaka paid tribute to the group for the tremendous and costly support from the Ministry and encouraged them to partner with civil society organizations, development partners, and churches in carrying out their mission. He described the mission as a precious and sacred one, stating that the Gbenyiri people and surrounding communities look to the group as a tool for peace, rehabilitation, and healing.]"
"The study also shed light on significant facility-based challenges that compromise the quality of care. A key issue was the inadequate number of midwives, which likely contributes to the long queues women reported. Additionally, the absence of essential equipment and drugs was a major problem. For example, health service providers specifically recommended a greater number of trained midwives and the provision of critical logistics like ultrasound machines and proper delivery equipment to ensure effective and high-quality care.",academic,"[Ọmụmụ ihe ahụ kụrụkwa ọkụ na nsogbu dị mkpa nke ụlọọrụ na-akpata na ọrụ ahụike. Ọ bụ nsogbu dị mkpa bụ ọnụọgụ ndị na-ahụ nwa dị ala, nke a na-atụ anya na ọ bụ ihe kpatara ndị inyom na-akọ na ha na-echere ogologo oge. Ọzọkwa, enweghị ngwaọrụ dị mkpa na ọgwụ bụ nsogbu dị ukwuu. Kwa ụdị, ndị na-enye ọrụ ahụike kọwara na ha chọrọ ọnụọgụ dị ukwuu nke ndị na-ahụ nwa ziri ezi na ịnye ngwaọrụ dị mkpa dịka ụgbọ njem na ngwaọrụ dị mkpa maka ịmụ nwa iji hụ na ọrụ ahụike dị mma na dị elu.]","[The study also highlighted the significant impact of the industry on health services. A significant problem is the low birth rate, which is expected to be the reason women report waiting longer. Additionally, the lack of necessary equipment and medication is a major problem. By category, health service providers explained that they require a large number of accurate birth attendants and the provision of necessary equipment such as transportation and equipment needed for childbirth to ensure high quality and high quality health services.]"
"Okonkwo was an imposing figure, tall and massive with a severe expression, a result of his bushy eyebrows and wide nose. His breathing was so heavy that his family could hear it from their own houses when he slept. When he walked, his heels barely touched the ground, making him seem poised to pounce on someone—which he often did. He had a slight stammer, and in moments of anger, he would resort to his fists when words failed him. He had no patience for men who were not successful, and this sentiment stemmed from his deep-seated shame for his own father.",literature,"[Okonkwo bụ onye dị ike, ogologo na ukwuu na ihu siri, nke sitere na ụmụntụ ya dị iche na imi ya paa. Ikpụrụ ya dị oke ike ka ezinụlọ ya nwere ike ikpụrụ ya site n'ụlọ ha mgbe ọ na-ehi ụra. Mgbe ọ na-agba, akpụkpọ ya dị ntakịrị ka ọ dị ka ọ na-akụnye ịwụta mmadụ—nke ọ na-eme mgbe niile. Ọ nwere ụtọ asụsụ dị ntakịrị, na mgbe ọ na-ọgbọ, ọ ga-erube aka ya mgbe okwu anaghị aka ya. Ọ enweghị obi ụtọ maka ụmụ nwoke ndị aghọtaghị ihe, na echiche a sitere na nsogbu ya dị omimi maka nna ya.]","[The cockroach was a strong, tall and large with a hard face, from which its spots differed from its nose. Its beak was so strong that its family could drag it out of their house while it slept. When it ran, its skin was as thin as if it were beating a man's throat which it regularly did. It had a limited grammar, and when it coughed, it would reach its hands when it was speechless. It had no pleasure in men who did not understand something, and this idea caused a deep problem for its father.]"
"The West African Examinations Council (WAEC) says officials implicated in acts of corruption during the Basic Education Certificate Examination (BECE) will be blacklisted from ever taking part in its activities again. Speaking on JoyNews’ PM Express on September 8, WAEC’s Director of Public Affairs, John Kapi, said the Council cannot continue to work with individuals who have betrayed the trust placed in them during national examinations.",news,[Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọrụ Ụlọ Ọr,"The following is a list of the members of the Board of Directors of the Company, as well as the names of the officers of the Company, their respective officers, and their respective positions within the Company, and the number of members of the Board of Directors, as of the date of the Board's meeting."
