Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,16.49%,16.48827157914638
nvidia_deepseek_ai_deepseek_r1_0528,literature,24.58%,24.576321430504315
nvidia_deepseek_ai_deepseek_r1_0528,news,30.96%,30.961692184209824
nvidia_ai21labs_jamba_1_5_large_instruct,academic,16.49%,16.48827157914638
nvidia_ai21labs_jamba_1_5_large_instruct,literature,24.58%,24.576321430504315
nvidia_ai21labs_jamba_1_5_large_instruct,news,30.96%,30.961692184209824
nvidia_meta_llama_3_3_70b_instruct,academic,16.49%,16.48827157914638
nvidia_meta_llama_3_3_70b_instruct,literature,24.58%,24.576321430504315
nvidia_meta_llama_3_3_70b_instruct,news,30.96%,30.961692184209824
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,16.49%,16.48827157914638
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,24.58%,24.576321430504315
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,30.96%,30.961692184209824
nvidia_qwen_qwq_32b,academic,16.49%,16.48827157914638
nvidia_qwen_qwq_32b,literature,24.58%,24.576321430504315
nvidia_qwen_qwq_32b,news,30.96%,30.961692184209824
nvidia_google_gemma_2_27b_it,academic,16.49%,16.48827157914638
nvidia_google_gemma_2_27b_it,literature,24.58%,24.576321430504315
nvidia_google_gemma_2_27b_it,news,30.96%,30.961692184209824
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,16.49%,16.48827157914638
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,24.58%,24.576321430504315
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,30.96%,30.961692184209824
nvidia_deepseek_ai_deepseek_v3_1,academic,16.49%,16.48827157914638
nvidia_deepseek_ai_deepseek_v3_1,literature,24.58%,24.576321430504315
nvidia_deepseek_ai_deepseek_v3_1,news,30.96%,30.961692184209824
nvidia_openai_gpt_oss_120b,academic,16.49%,16.48827157914638
nvidia_openai_gpt_oss_120b,literature,24.58%,24.576321430504315
nvidia_openai_gpt_oss_120b,news,30.96%,30.961692184209824
nvidia_moonshotai_kimi_k2_instruct,academic,16.49%,16.48827157914638
nvidia_moonshotai_kimi_k2_instruct,literature,24.58%,24.576321430504315
nvidia_moonshotai_kimi_k2_instruct,news,30.96%,30.961692184209824
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,16.49%,16.48827157914638
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,24.58%,24.576321430504315
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,30.96%,30.961692184209824
nvidia_writer_palmyra_creative_122b,academic,16.49%,16.48827157914638
nvidia_writer_palmyra_creative_122b,literature,24.58%,24.576321430504315
nvidia_writer_palmyra_creative_122b,news,30.96%,30.961692184209824
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,16.49%,16.48827157914638
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,24.58%,24.576321430504315
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,30.96%,30.961692184209824
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,16.49%,16.48827157914638
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,24.58%,24.576321430504315
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,30.96%,30.961692184209824
