text,translated,backtranslated,similarity_score
Ablekuma North Parliament Election: The implication of NDC's Ewurabena Aubynn's win.,Ablekuma North Parliament Election: Nea NDC Ewurabena Aubynn nkonimdi no kyerɛ.,Ablekuma North Parliament Election: The significance of the victory of NDC Chairperson Aubynn.,0.871189296245575
Asante Kotoko's game against Kwara United won't be a walkover – Sarfo Duku.,"Asante Kotoko ne Kwara United bɛko no, ɛrenyɛ mmerɛ  Sarfo Duku.",Asante Kotoko and Kwara United will be facing off against Sarfo Duku.,0.7752864360809326
At least 13 drown fleeing armed men in northwest Nigeria.,Nnipa a wɔabɔ akode a wɔretwe wɔn ho afi Nigeria atifi fam atɔe fam no bɛyɛ 13 na nsu no kunkum wɔn.,At least 13 gunmen who were retreating from northwestern Nigeria were killed by the floodwaters.,0.7255668044090271
Kumawu MP urges Parliament to act on crisis in Ghana’s prisons.,Kumawu MP hyɛ mmarahyɛ baguam sɛ wɔnhwɛ nsɛm a ɛrekɔ so wɔ Ghana nneduaban mu no so.,The Kumawu MP urges parliament to monitor developments in the camps in Ghana.,0.7244669198989868
"Diddy declines to testify, praises judge as sex trafficking trial nears end.","Diddy ampene so sɛ obedi adanse, na ɔkamfo ɔtemmufo no bere a nna ho aguadi ho asɛnni no rebɛn awiei no.","Diddy refused to testify, and he praised the judge as the sex trafficking trial drew to a close.",0.85055011510849
'Asibolanga' and all the 2022 beef songs that took the internet by storm.,'Asibolanga' ne nnwom a ɛfa anantwi ho a wɔato din wɔ afe 2022 mu a ɛfaa Intanɛt so no nyinaa.,'Asibolanga' is the most downloaded cow-themed song of 2022.,0.7291002869606018
'Act now before the situation deteriorates' – NDC Spain branch tells Mahama amid rising 'insecurity’.,'Yɛ biribi seesei ansa na tebea no asɛe'  NDC Spain baa no ka kyerɛ Mahama wɔ 'ahotɔ a enni mu' a ɛrekɔ soro no mu.,'Act now before the situation gets worse' NDC Spain branch tells Mahama amid rising 'uncertainty'.,0.8766744136810303
Was Jose Mourinho right?: Unpacking the lows of Dele Alli’s football career.,So Jose Mourinho kaa nokware?: Dele Alli's football adwuma no ho nsɛm a wɔaka no.,Was Jose Mourinho right?: Dele Alli's football career is in doubt.,0.9233274459838867
Rema's Calm Down falls off Billboard Hot 100 after setting new record.,Rema's Calm Down no fii Billboard Hot 100 no so bere a ɔyɛɛ ne ho kyerɛwtohɔ foforo no.,Rema's Calm Down dropped off the Billboard Hot 100 after setting a new record.,0.9781920909881592
'I have always wanted a girl' - Rihanna opens up on pressure of raising two sons.,'Mepɛ sɛ minya ababaa bere nyinaa' - Rihanna ka sɛnea ɔretete mmabarima baanu no ho asɛm.,'I always wanted a girlfriend' - Rihanna talks about raising her two sons.,0.8750473856925964
