text,source,translated,backtranslated,similarity_score
Ablekuma North Parliament Election: The implication of NDC's Ewurabena Aubynn's win.,news titles,Ablekuma North Palevement Atosii: NDC Ewurabena Aubynn antwi no asetasee.,Ablekuma North Parliament Seat: NDC's Ewurabena Aubynn responds.,0.8610413670539856
Asante Kotoko's game against Kwara United won't be a walkover – Sarfo Duku.,news titles,Asante Kotoko ne Kwara United dwumadi yɛnndi mmrɛ ne mmrɛ kan - Sarfo Duku.,"""Asante Kotoko and Kwara United's match will not end in a draw - Sarfo Duku.""",0.731824517250061
At least 13 drown fleeing armed men in northwest Nigeria.,news titles,Aka kraaa 13 wu hunu akaa egufuo no mu na ebu akodan no mu afosee Nigeria,He has been jailed for 13 years now and will be released from the prison in Nigeria next month,0.3265346884727478
Kumawu MP urges Parliament to act on crisis in Ghana’s prisons.,news titles,Kumawu MP de Parliament anim sɛ wɔn ntwe mpata akatua a edikan nkorɔfo no mu.,The Kumawu MP in Parliament thinks they should enforce laws that will develop the country.,0.5606843829154968
"Diddy declines to testify, praises judge as sex trafficking trial nears end.",news titles,"Koo Diddy de nnsi nsɛm no, mae wo din a ɔhyɛ akyɛdeɛ so ne adawura a edi kane no wɔ ɔsoro no mu.","""Koo Diddy heard the news, let your name be praised for the great grace and hard work that is in heaven.""",0.2673717737197876
'Asibolanga' and all the 2022 beef songs that took the internet by storm.,news titles,"""Asibolanga"" ne 2022 yi nkɔmmɔ bifaa a edi nnsaanan hyɛn mu.","The ""Asibolanga"" and the 2022 issue are matters that need to be discussed extensively.",0.42107096314430237
'Act now before the situation deteriorates' – NDC Spain branch tells Mahama amid rising 'insecurity’.,news titles,"""Dwen na wanim akyɛdeɛ a ebusuafo no ababasu no – NDC Spain afe abaa Mahama nkyɛn mu nkɔsoɔ anohoba a ekyɛ no so.""","Because of that, they have heard the complaints that his family members have leveled against him the NDC Spain branch has also come to console former President Mahama today.",0.5421178340911865
Was Jose Mourinho right?: Unpacking the lows of Dele Alli’s football career.,news titles,Jose Mourinho anaa ɔyɛ dɛn?: Detum Dele Alli football ankosoo ho ahohyɛdo,Is Jose Mourinho still good? Talking about Dele Alli's football future,0.8117762207984924
Rema's Calm Down falls off Billboard Hot 100 after setting new record.,news titles,"Rema no wɔn ""Calm Down"" akyerɛ Billboard Hot 100 bɛfrɛ record awia anumaa","""His song ""Calm Down"" enters the Billboard Hot 100 to set a new record""",0.7454001307487488
'I have always wanted a girl' - Rihanna opens up on pressure of raising two sons.,news titles,"""Me pɛ a me te sɛ mepɛ sɛdeɛ nya baawa - Rihanna de n'aso wɔ mmra a ɔba wo nnipa""","""I wish I could find love - Rihanna has her hands in everything that people do""",0.6372854709625244
