Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,64.70%,64.69666659832001
nvidia_deepseek_ai_deepseek_r1_0528,literature,72.05%,72.05023646354675
nvidia_deepseek_ai_deepseek_r1_0528,news,69.67%,69.67062294483185
nvidia_ai21labs_jamba_1_5_large_instruct,academic,64.70%,64.69666659832001
nvidia_ai21labs_jamba_1_5_large_instruct,literature,72.05%,72.05023646354675
nvidia_ai21labs_jamba_1_5_large_instruct,news,69.67%,69.67062294483185
nvidia_meta_llama_3_3_70b_instruct,academic,64.70%,64.69666659832001
nvidia_meta_llama_3_3_70b_instruct,literature,72.05%,72.05023646354675
nvidia_meta_llama_3_3_70b_instruct,news,69.67%,69.67062294483185
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,64.70%,64.69666659832001
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,72.05%,72.05023646354675
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,69.67%,69.67062294483185
nvidia_qwen_qwq_32b,academic,64.70%,64.69666659832001
nvidia_qwen_qwq_32b,literature,72.05%,72.05023646354675
nvidia_qwen_qwq_32b,news,69.67%,69.67062294483185
nvidia_google_gemma_2_27b_it,academic,64.70%,64.69666659832001
nvidia_google_gemma_2_27b_it,literature,72.05%,72.05023646354675
nvidia_google_gemma_2_27b_it,news,69.67%,69.67062294483185
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,64.70%,64.69666659832001
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,72.05%,72.05023646354675
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,69.67%,69.67062294483185
nvidia_deepseek_ai_deepseek_v3_1,academic,64.70%,64.69666659832001
nvidia_deepseek_ai_deepseek_v3_1,literature,72.05%,72.05023646354675
nvidia_deepseek_ai_deepseek_v3_1,news,69.67%,69.67062294483185
nvidia_openai_gpt_oss_120b,academic,64.70%,64.69666659832001
nvidia_openai_gpt_oss_120b,literature,72.05%,72.05023646354675
nvidia_openai_gpt_oss_120b,news,69.67%,69.67062294483185
nvidia_moonshotai_kimi_k2_instruct,academic,64.70%,64.69666659832001
nvidia_moonshotai_kimi_k2_instruct,literature,72.05%,72.05023646354675
nvidia_moonshotai_kimi_k2_instruct,news,69.67%,69.67062294483185
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,64.70%,64.69666659832001
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,72.05%,72.05023646354675
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,69.67%,69.67062294483185
nvidia_writer_palmyra_creative_122b,academic,64.70%,64.69666659832001
nvidia_writer_palmyra_creative_122b,literature,72.05%,72.05023646354675
nvidia_writer_palmyra_creative_122b,news,69.67%,69.67062294483185
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,64.70%,64.69666659832001
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,72.05%,72.05023646354675
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,69.67%,69.67062294483185
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,64.70%,64.69666659832001
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,72.05%,72.05023646354675
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,69.67%,69.67062294483185
