Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,24.48%,24.477339386939995
nvidia_deepseek_ai_deepseek_r1_0528,literature,50.22%,50.220460295677185
nvidia_deepseek_ai_deepseek_r1_0528,news,36.11%,36.11333727836608
nvidia_ai21labs_jamba_1_5_large_instruct,academic,24.48%,24.477339386939995
nvidia_ai21labs_jamba_1_5_large_instruct,literature,50.22%,50.220460295677185
nvidia_ai21labs_jamba_1_5_large_instruct,news,36.11%,36.11333727836608
nvidia_meta_llama_3_3_70b_instruct,academic,24.48%,24.477339386939995
nvidia_meta_llama_3_3_70b_instruct,literature,50.22%,50.220460295677185
nvidia_meta_llama_3_3_70b_instruct,news,36.11%,36.11333727836608
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,24.48%,24.477339386939995
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,50.22%,50.220460295677185
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,36.11%,36.11333727836608
nvidia_qwen_qwq_32b,academic,24.48%,24.477339386939995
nvidia_qwen_qwq_32b,literature,50.22%,50.220460295677185
nvidia_qwen_qwq_32b,news,36.11%,36.11333727836608
nvidia_google_gemma_2_27b_it,academic,24.48%,24.477339386939995
nvidia_google_gemma_2_27b_it,literature,50.22%,50.220460295677185
nvidia_google_gemma_2_27b_it,news,36.11%,36.11333727836608
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,24.48%,24.477339386939995
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,50.22%,50.220460295677185
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,36.11%,36.11333727836608
nvidia_deepseek_ai_deepseek_v3_1,academic,24.48%,24.477339386939995
nvidia_deepseek_ai_deepseek_v3_1,literature,50.22%,50.220460295677185
nvidia_deepseek_ai_deepseek_v3_1,news,36.11%,36.11333727836608
nvidia_openai_gpt_oss_120b,academic,24.48%,24.477339386939995
nvidia_openai_gpt_oss_120b,literature,50.22%,50.220460295677185
nvidia_openai_gpt_oss_120b,news,36.11%,36.11333727836608
nvidia_moonshotai_kimi_k2_instruct,academic,24.48%,24.477339386939995
nvidia_moonshotai_kimi_k2_instruct,literature,50.22%,50.220460295677185
nvidia_moonshotai_kimi_k2_instruct,news,36.11%,36.11333727836608
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,24.48%,24.477339386939995
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,50.22%,50.220460295677185
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,36.11%,36.11333727836608
nvidia_writer_palmyra_creative_122b,academic,24.48%,24.477339386939995
nvidia_writer_palmyra_creative_122b,literature,50.22%,50.220460295677185
nvidia_writer_palmyra_creative_122b,news,36.11%,36.11333727836608
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,24.48%,24.477339386939995
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,50.22%,50.220460295677185
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,36.11%,36.11333727836608
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,24.48%,24.477339386939995
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,50.22%,50.220460295677185
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,36.11%,36.11333727836608
