Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,17.86%,17.861444465816017
nvidia_deepseek_ai_deepseek_r1_0528,literature,49.20%,49.202284812927246
nvidia_deepseek_ai_deepseek_r1_0528,news,50.46%,50.457624047994614
nvidia_ai21labs_jamba_1_5_large_instruct,academic,17.86%,17.861444465816017
nvidia_ai21labs_jamba_1_5_large_instruct,literature,49.20%,49.202284812927246
nvidia_ai21labs_jamba_1_5_large_instruct,news,50.46%,50.457624047994614
nvidia_meta_llama_3_3_70b_instruct,academic,17.86%,17.861444465816017
nvidia_meta_llama_3_3_70b_instruct,literature,49.20%,49.202284812927246
nvidia_meta_llama_3_3_70b_instruct,news,50.46%,50.457624047994614
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,17.86%,17.861444465816017
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,49.20%,49.202284812927246
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,50.46%,50.457624047994614
nvidia_qwen_qwq_32b,academic,17.86%,17.861444465816017
nvidia_qwen_qwq_32b,literature,49.20%,49.202284812927246
nvidia_qwen_qwq_32b,news,50.46%,50.457624047994614
nvidia_google_gemma_2_27b_it,academic,17.86%,17.861444465816017
nvidia_google_gemma_2_27b_it,literature,49.20%,49.202284812927246
nvidia_google_gemma_2_27b_it,news,50.46%,50.457624047994614
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,17.86%,17.861444465816017
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,49.20%,49.202284812927246
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,50.46%,50.457624047994614
nvidia_deepseek_ai_deepseek_v3_1,academic,17.86%,17.861444465816017
nvidia_deepseek_ai_deepseek_v3_1,literature,49.20%,49.202284812927246
nvidia_deepseek_ai_deepseek_v3_1,news,50.46%,50.457624047994614
nvidia_openai_gpt_oss_120b,academic,17.86%,17.861444465816017
nvidia_openai_gpt_oss_120b,literature,49.20%,49.202284812927246
nvidia_openai_gpt_oss_120b,news,50.46%,50.457624047994614
nvidia_moonshotai_kimi_k2_instruct,academic,17.86%,17.861444465816017
nvidia_moonshotai_kimi_k2_instruct,literature,49.20%,49.202284812927246
nvidia_moonshotai_kimi_k2_instruct,news,50.46%,50.457624047994614
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,17.86%,17.861444465816017
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,49.20%,49.202284812927246
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,50.46%,50.457624047994614
nvidia_writer_palmyra_creative_122b,academic,17.86%,17.861444465816017
nvidia_writer_palmyra_creative_122b,literature,49.20%,49.202284812927246
nvidia_writer_palmyra_creative_122b,news,50.46%,50.457624047994614
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,17.86%,17.861444465816017
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,49.20%,49.202284812927246
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,50.46%,50.457624047994614
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,17.86%,17.861444465816017
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,49.20%,49.202284812927246
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,50.46%,50.457624047994614
