Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,31.23%,31.225083470344543
nvidia_deepseek_ai_deepseek_r1_0528,literature,55.14%,55.14214217662811
nvidia_deepseek_ai_deepseek_r1_0528,news,66.52%,66.52488112449646
nvidia_ai21labs_jamba_1_5_large_instruct,academic,31.23%,31.225083470344543
nvidia_ai21labs_jamba_1_5_large_instruct,literature,55.14%,55.14214217662811
nvidia_ai21labs_jamba_1_5_large_instruct,news,66.52%,66.52488112449646
nvidia_meta_llama_3_3_70b_instruct,academic,31.23%,31.225083470344543
nvidia_meta_llama_3_3_70b_instruct,literature,55.14%,55.14214217662811
nvidia_meta_llama_3_3_70b_instruct,news,66.52%,66.52488112449646
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,31.23%,31.225083470344543
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,55.14%,55.14214217662811
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,66.52%,66.52488112449646
nvidia_qwen_qwq_32b,academic,31.23%,31.225083470344543
nvidia_qwen_qwq_32b,literature,55.14%,55.14214217662811
nvidia_qwen_qwq_32b,news,66.52%,66.52488112449646
nvidia_google_gemma_2_27b_it,academic,31.23%,31.225083470344543
nvidia_google_gemma_2_27b_it,literature,55.14%,55.14214217662811
nvidia_google_gemma_2_27b_it,news,66.52%,66.52488112449646
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,31.23%,31.225083470344543
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,55.14%,55.14214217662811
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,66.52%,66.52488112449646
nvidia_deepseek_ai_deepseek_v3_1,academic,31.23%,31.225083470344543
nvidia_deepseek_ai_deepseek_v3_1,literature,55.14%,55.14214217662811
nvidia_deepseek_ai_deepseek_v3_1,news,66.52%,66.52488112449646
nvidia_openai_gpt_oss_120b,academic,31.23%,31.225083470344543
nvidia_openai_gpt_oss_120b,literature,55.14%,55.14214217662811
nvidia_openai_gpt_oss_120b,news,66.52%,66.52488112449646
nvidia_moonshotai_kimi_k2_instruct,academic,31.23%,31.225083470344543
nvidia_moonshotai_kimi_k2_instruct,literature,55.14%,55.14214217662811
nvidia_moonshotai_kimi_k2_instruct,news,66.52%,66.52488112449646
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,31.23%,31.225083470344543
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,55.14%,55.14214217662811
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,66.52%,66.52488112449646
nvidia_writer_palmyra_creative_122b,academic,31.23%,31.225083470344543
nvidia_writer_palmyra_creative_122b,literature,55.14%,55.14214217662811
nvidia_writer_palmyra_creative_122b,news,66.52%,66.52488112449646
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,31.23%,31.225083470344543
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,55.14%,55.14214217662811
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,66.52%,66.52488112449646
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,31.23%,31.225083470344543
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,55.14%,55.14214217662811
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,66.52%,66.52488112449646
