text,source,translated,backtranslated,similarity_score
"These are people who certainly have not proved that they are worthy of the trust that we repose in them. As far as this job is concerned, let me also indicate that when it comes to BECE, most of the decisions are taken by the Ghana Education Service. For example, the selection of supervisors and invigilators is done by the district exams officer, he explained. His comments come in the wake of a JoyNews Hotline investigation led by GH Probe’s Francisca Enchil, which uncovered disturbing levels of collusion at examination centres.",news,"[Ni abantu bari bimeze gutanga icyo bavuze ko bafite icyizere cyacu. Ku kibazo cy’akazi, nashimira kubivuga ko mu kazi ya BECE, amategeko y’ingero yose yafashwe na Serivisi ya Kinyarwanda ya Ghana. Kwa mfano, ubwiriza bw’abashinze na abayobera byafashwe na umuyobozi wa parike y’examu, yavuze. Ibi yavuze mu gihe cyo kubera ubushakashatsi bwakozwe na JoyNews Hotline bwari bwitwa Francisca Enchil wa GH Probe, bukomeje kubona uburyo bwo kwiyemeza mu ishuri.]","[It was people who were willing to give their feedback that they trusted us. On the employment issue, I would like to point out that in the BECE work, all the standards were set by the Ghanaian Rwandan Service. For example, the guidelines for the founders and administrators were set by the director of the park, he said. This was during a survey conducted by JoyNews Hotline that was Francisca Enchil of GH Probe, which continues to have a high level of self-confidence in the school.]",0.6630343198776245
"A variety of socioeconomic and cultural factors were identified as major barriers to accessing and utilizing MHCS. Over half of the women surveyed cited poverty, illiteracy, restrictions from their husbands, the distance to health facilities, and long queues as reasons for not using services. Additionally, over a third of the women pointed to cultural practices within their communities as a cause for delays in seeking care. These findings reveal that addressing maternal health in this region requires more than just improving clinical services; it also means tackling deeply rooted societal and personal challenges that women face daily.",academic,"[Ubwoko bw'ibikorwa by'ubukungu n'uturage butandukanye byabonye ko ari byo bivuze kugera no kuganira serivisi za MHCS. Zaidi ya nusu ya ba mukecuru barije kubika ubukene, kutokwizwa, kubwirwa na bavandimwe, umbali kwa serivisi za afya, na amasaha maremare kuwunganisha kuganira serivisi. Kugira icyo gihe, zaidi ya gatatu ya ba mukecuru zarije kw'ibikorwa by'uturage mu muryango wabo kuriyo gihe cyo kwiruka kuganira serivisi. Ibi byerekana ko kuganira ubukene wa mukecuru mu karere haki ni gusa kuzamura serivisi za afya; kugira icyo gihe, kuganira ibikorwa by'uturage na by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'","[A range of economic and social activities were found to be the means of accessing and negotiating MHCS services. More than half of the women reported poverty, lack of promotion, family informing, lack of health services, and long hours to negotiate services. To achieve this, more than a third of the women reported attending community services in their community at the time of the migration to negotiate services. This suggests that the integration of women into the health services is only to improve health services; to achieve this, the integration of community and social activities in the health services is to improve the health services of the population.",0.7717086672782898
"Despite his shortcomings, Unoka was a talented musician. He was a tall but very thin man with a slight stoop and a mournful look, which would disappear when he was drinking or playing his flute. His happiest moments came in the months after the harvest, when the village musicians would retrieve their instruments from above the fireplace. Unoka would join them, his face filled with pure joy and peace. Sometimes, other villages would invite Unoka and his band to teach them their tunes, and they would stay for several months, sharing their music.",literature,"[Ndakurwanya kubura kwake, Unoka yari umuhanzi mwiza. Yari umugabo muremure kandi muto kubera, afite ibibazo n'umutima ushaje, ibyo byari bigaruka igihe yari kumwaga inzoga au kurya inanga yake. Igihe cy'umwaka cyari kigera mu minsi ikurikira ivyaro, abahanzi b'umudugudu barikwaga ibikoresho vyabo vya muzika kuva hejuru y'umuriro. Unoka yari kubashirira, umutima wake ukomeje umworo n'umwuka. Mw'igihe, imidugudu mingine yari kumpa Unoka na bendi yake kwigisha ivyinshi vyabo, nabo barabashirira kwa minsi mingi, bakishirira muzika yabo.]","[I object to his absence, Unoka was a good musician. He was a tall and short man, with a troubled and aged heart, which returned when he drank or ate his harp. When the year was about to end in the days following the harvest, the musicians of the village hung their musical instruments from the fire above. Unoka would be fond of them, his heart strengthened by the poor spirit. In the meantime, other villages would give Unoka and his band a lesson in many of their arts, and they would feast at their homes for many days, enjoying music.]",0.8204094171524048
"At the Derby Avenue RC Basic School and St. George’s Anglican Basic School in Accra, invigilators were captured openly demanding GH¢60 daily tokens, supervisors pocketed envelopes of GH¢400, and candidates were asked to contribute to an Aseda Offertory. John Kapi stressed that once WAEC provides feedback on such incidents, it is the responsibility of the Ghana Education Service (GES) to take decisive action. And so when these issues come up, once the feedback goes to them, we [WAEC] expect that they would react appropriately and ensure that the right action is taken against the people, he said.",news,"[Mu ishuri rya Derby Avenue RC Basic School na St. George’s Anglican Basic School i Accra, abarizwa amakarita barahamagaye bari bapfa GH¢60 kwa kila siku, abashinze baramwegera amafaranga ya GH¢400, n’abanyeshuri barabwirwa kugira ngo kuva mu Aseda Offertory. John Kapi yavuze ko uko WAEC ibonye ibitekerezo ku kibazo, ni wajibu wa Ghana Education Service (GES) kugira icyo abantu bakeneye. N’uko ibibazo vyiza, uko ibitekerezo bigiye kubagezwa, tun [WAEC] tukizeza ko bazakomeza kugira icyo abantu bakeneye na kugira icyo abantu bakeneye kugira icyo abantu bakeneye kugira icyo abantu bakeneye.]","[At Derby Avenue RC Basic School and St. George's Anglican Basic School in Accra, cardholders were called who were charging GH¢60 per day, founders were approached for GH¢400, and students were told to leave the Aseda Offertory. John Kapi said that as WAEC received feedback on the issue, it was the responsibility of Ghana Education Service (GES) to meet the needs of the people. As the questions are good, as the feedback is coming, we [WAEC] hope that they will continue to meet the needs of the people and the people need to have what the people need to have what the people need to have.]",0.7095880508422852
"For rural communities in Ghana, especially in the Kumbungu district, access to and use of maternal healthcare services (MHCS) remain a significant challenge. This study set out to explore the specific barriers preventing women from utilizing these services and to evaluate the quality of care provided. The research adopted a mixed-methods approach, combining both quantitative and qualitative data to get a comprehensive view of the situation. This phased design involved surveying 441 pregnant and postpartum women and conducting interviews with 20 healthcare providers. A facility checklist was also used to assess the state of clinics, including the availability of essential drugs and equipment.",academic,"[Urwego rwo kubona na kugena serivisi za afya ya mababyeyi (MHCS) mu mirenge ya Ghana, haswa mu karere ka Kumbungu, ni ikibazo gikomeye. Ushusho huu watejeje kwiga ibibazo byo mu kigero byakubangamira abagore kugena serivisi hizi no kumenyesha ubora w’ubuvuzi bwaberekerwa. Ushusho huu watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje wateje","[The level of access to and appointment of Maternal Health Services (MHCS) in rural Ghana, especially in the Kumbungu region, is a major issue. This study examined the scale of barriers that prevent women from appointing these services and informed the quality of their care. This study was conducted by the National Institute of Health (NIH) in the United States of America, and was funded by the National Institute of Health (NIH) in the United Kingdom.",0.9266460537910461
"Okonkwo was a man of great renown throughout his nine villages and even beyond, a fame built entirely on his own remarkable achievements. At just eighteen years old, he brought honor to his village by defeating Amalinze the Cat, a legendary wrestler who had been undefeated for seven years. Amalinze earned his nickname because his back never once touched the earth. The old men of the village considered Okonkwo's victory one of the fiercest fights they had ever seen.",literature,"[Okonkwo yari umugabo w'umwirabura mwinshi mu miryango yake itandatu na kure, umwirabura watewe n'ibikorwa by'ingenzi by'umwirabura we. Akiwa afite imyaka kumi na nane gusa, yagiriza umwirabura umujyi wake kwa kubwira Amalinze Igihe, umukinnyi w'ingoma wari warushijwe kwa myaka saba. Amalinze yari atuyeze izina rye kubera ko umugongo we wari utaraba k'umuhanda. Abakuru b'umujyi bari bamaze kubona ingoma zikomeye nk'izo Okonkwo yari yabwiye.]","[Okonkwo was a black man who was the largest of his six distant relatives, a black man who was affected by the important actions of his blackness. At only eighteen years old, he accused a black man in his town of telling Amalinze Tempo, a crown prince who was seven years older. Amalinze had already made his name because his back was not yet to the road. The elders of the town had already seen great kingdoms like the ones Okonkwo had told.]",0.746056079864502
"Muntaka assured the committee of full logistical and secretariat support from the Ministry and urged them to partner with civil society organizations, development partners, and faith-based institutions in carrying out their work. He described the task as heavy but honorable, stressing that the people of Gbenyiri and surrounding communities were looking up to the committee as instruments of peace, reconciliation, and healing.",news,"[Muntaka yashimye komite y'ubufatanye bw'umwanzuro na serikali ya minisiteri, akababwira kw'abafatanyabikorwa n'amasosiyete y'abaturage, abafatanyabikorwa b'umuryango w'abibumbye, na madamu y'ibikorwa by'imana mu kubikora. Yabwiye ko umwanzuro ni mwinshi ariko ni w'umwirabura, akabaza ku kubwira ko abaturage ba Gbenyiri na komuniti zirikurira zirababwira komite nk'inzangano z'umwuka, z'ubumwe, na z'uburabura.]","[Muntaka praised the decision-making cooperation committee and the ministerial government, telling them of the partnerships with civil society, the UN partners, and the gods of action in making it. He said the decision was a lot but black, and asked them to tell the people of Gibraltar and the communities complaining about them as committees of spiritual hatred, solidarity, and lack of resources.]",0.6398835778236389
"The study also shed light on significant facility-based challenges that compromise the quality of care. A key issue was the inadequate number of midwives, which likely contributes to the long queues women reported. Additionally, the absence of essential equipment and drugs was a major problem. For example, health service providers specifically recommended a greater number of trained midwives and the provision of critical logistics like ultrasound machines and proper delivery equipment to ensure effective and high-quality care.",academic,"[Ubushakashatsi kandi bwerekanye ibibazo bikomeye by’ikigo bigabanya ubora w’ubuvuzi. Ikibazo cy’ingenzi cyari ukubwa dore d’ababyeyi, bikaba byagira uruhare mu kubura kw’abagore. Kugira ngo, kutabira kwa ibikoresho na madawa ya kibazo byari ikibazo kinini. Kwa mfano, abatoza serivisi za afya bategetse kuboneka kwa ababyeyi bazima zaidi na kugira ibikoresho by’ingenzi nko kwa mashine za ultrasound na ibikoresho by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano","[The study also showed that severe institutional problems reduce the quality of care. The main issue was the size of the parents, which could contribute to the lack of women. Therefore, the availability of equipment and medication for the problem was a major issue. For example, health service providers expect the availability of more healthy parents and access to essential equipment such as ultrasound machines and equipment for sexual health care. The study also found that the availability of adequate health care for the parents was a major problem.",0.6841966509819031
"Okonkwo was an imposing figure, tall and massive with a severe expression, a result of his bushy eyebrows and wide nose. His breathing was so heavy that his family could hear it from their own houses when he slept. When he walked, his heels barely touched the ground, making him seem poised to pounce on someone—which he often did. He had a slight stammer, and in moments of anger, he would resort to his fists when words failed him. He had no patience for men who were not successful, and this sentiment stemmed from his deep-seated shame for his own father.",literature,"[Okonkwo yari umuntu w'ingenzi, w'uburebure bwinshi n'umutwe mwinshi, uruhu rwe rwose rwaragaye kubera imyanya y'amaso y'aragaye n'umunwa mwinshi. Umwuka we wari ukomeye kubera ko umuryango we wabamwumva wakiri mu nzu zabo wakiri. Wakorera, amaguru y'abanyuma yake yagwa kugwa k'umuhanda, akaba ari mu kibuno cyo kugwa k'umuntu—kandi yabaga akora. Yari afite umwuka ushobora kugwa, na mu gihe cy'ikibazo, yagwa k'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'","[Okonkwo was a prominent, tall man with a big head, his entire skin was paralyzed from his large eyes and mouth. His breath was strong because his family could hear him from their living quarters. At work, his back legs would fall off the road, and he was in a falling-off position while working. He had a breath that would fall off, and in a crisis, would fall off the road. He was a very tall man, with a large head, his whole skin was paralyzed from his eyes and mouth. His breath was strong because his family could hear him from their living quarters.",0.8954084515571594
"The West African Examinations Council (WAEC) says officials implicated in acts of corruption during the Basic Education Certificate Examination (BECE) will be blacklisted from ever taking part in its activities again. Speaking on JoyNews’ PM Express on September 8, WAEC’s Director of Public Affairs, John Kapi, said the Council cannot continue to work with individuals who have betrayed the trust placed in them during national examinations.",news,"[Ushirika wa Ekizami wa Afurika ya Magharibi (WAEC) ushema ofisieli waliotajwa kuhusika na vitendo vya rushwa wakati wa Ekizami cha Shahada ya Kwanza ya Elimu (BECE) bazabarurwa kutokwenda kushiriki katika shughuli zake tena. Akiongea kwenye PM Express ya JoyNews mnamo Septemba 8, Mkurugenzi wa Masuala ya Umma wa WAEC, John Kapi, alisema Baraza halitaweza kuendelea kufanya kazi na watu binafsi ambao wamesaliti imani iliyowekwa kwao wakati wa majaribio ya kitaifa.]","[The West African Examinations Council (WAEC) announces that officials identified as having been involved in corrupt practices during the First Educational Certificate Examination (BECE) will be barred from participating in its activities again. Speaking on JoyNews' PM Express on September 8, WAEC's Director of Public Affairs, John Kapi, said the Board would not be able to continue working with individuals who have betrayed their trust during the national examination.]",0.9388417601585388
