text,translated,backtranslated,similarity_score
Ablekuma North Parliament Election: The implication of NDC's Ewurabena Aubynn's win.,Zaben Majalisar Dokokin Ablekuma ta Arewa: Sakamakon nasarar Ewurabena Aubynn na NDC.,Ablekuma North Assembly Election: Results of the victory of the NDC by Ewurabena Aubynn.,0.8822314143180847
Asante Kotoko's game against Kwara United won't be a walkover – Sarfo Duku.,Wasan Asante Kotoko da Kwara United ba zai zama tafiya ba  Sarfo Duku.,Asante Kotoko's match against Kwara United will not be a walk in Sarfo Duku.,0.7941099405288696
At least 13 drown fleeing armed men in northwest Nigeria.,Akalla mutane 13 sun nitse a cikin ruwa suna tserewa daga 'yan bindiga a arewa maso yammacin Najeriya.,At least 13 people drowned while fleeing gunmen in northwestern Nigeria.,0.8696487545967102
Kumawu MP urges Parliament to act on crisis in Ghana’s prisons.,Wani dan majalisar Kumawu ya bukaci majalisar da ta dauki mataki kan rikicin da ke faruwa a gidajen yarin Ghana.,A Kumawu MP has urged parliament to take action on the violence in Ghana's prisons.,0.8701579570770264
"Diddy declines to testify, praises judge as sex trafficking trial nears end.","Diddy ya ki bayar da shaida, ya yaba wa alkali yayin da shari'ar cinikin jima'i ke gab da karewa.","Diddy refused to testify, praising the judge as the sex trafficking case was nearing completion.",0.8586134314537048
'Asibolanga' and all the 2022 beef songs that took the internet by storm.,'Asibolanga' da duk waƙoƙin naman shanu na 2022 da suka mamaye intanet da guguwa.,'Asibolanga' and all the beef songs of 2022 have taken the internet by storm.,0.9459333419799805
'Act now before the situation deteriorates' – NDC Spain branch tells Mahama amid rising 'insecurity’.,'Ku yi aiki yanzu kafin yanayin ya tabarbare'  reshen NDC Spain ya gaya wa Mahama a yayin da ake samun 'rashin tsaro' .,'Act now before the situation gets worse' NDC Spain branch told Mahama amidst the 'security crisis'.,0.8730859756469727
Was Jose Mourinho right?: Unpacking the lows of Dele Alli’s football career.,Shin Jose Mourinho ya yi daidai?: Bayyana abubuwan da suka faru a cikin wasan kwallon kafa na Dele Alli?,Is Jose Mourinho right?: Explaining the events of Dele Alli's football career?,0.9096038341522217
Rema's Calm Down falls off Billboard Hot 100 after setting new record.,Rema's Calm Down ya sauka daga Billboard Hot 100 bayan kafa sabon rikodin.,Rema's Calm Down has dropped off the Billboard Hot 100 after setting a new record.,0.9700149297714233
'I have always wanted a girl' - Rihanna opens up on pressure of raising two sons.,'A koyaushe ina son yarinya' - Rihanna ta buɗe game da matsin lamba na haɓaka 'ya'ya maza biyu.,'I always wanted a girl' - Rihanna opened up about the pressures of raising two boys.,0.9366201758384705
Adjusted level 2: Presido announce new restrictions for South Africa to contain Coronavirus.,Mataki na 2: Presido ya sanar da sabbin takunkumi ga Afirka ta Kudu don hana cutar Coronavirus.,Step 2: Presido announces new restrictions for South Africa to prevent the spread of the Coronavirus.,0.8387838006019592
