text,translated,backtranslated,similarity_score
Ablekuma North Parliament Election: The implication of NDC's Ewurabena Aubynn's win.,Zaben majalisar dokokin Ablekuma ta Arewa: Sakamakon nasarar Ewurabena Aubynn na NDC.,Ablekuma North parliamentary election: The result of the victory of the NDC MEP Aubynn.,0.8575184941291809
Asante Kotoko's game against Kwara United won't be a walkover – Sarfo Duku.,Wasan Asante Kotoko da Kwara United ba zai zama wasa na wucewa ba  Sarfo Duku.,The match between Asante Kotoko and Kwara United will not be a passing match for Sarfo Duku.,0.7893769145011902
At least 13 drown fleeing armed men in northwest Nigeria.,Akalla mutane 13 sun nitse suna gudu daga 'yan bindiga a arewa maso yammacin Najeriya.,At least 13 people drowned fleeing gunmen in northwestern Nigeria.,0.8618800640106201
Kumawu MP urges Parliament to act on crisis in Ghana’s prisons.,Dan majalisar Kumawu ya bukaci majalisar da ta dauki mataki kan rikicin da ke faruwa a gidajen yarin Ghana.,MP Kumawu urged the parliament to take action on the violence in Ghana's prisons.,0.8619550466537476
"Diddy declines to testify, praises judge as sex trafficking trial nears end.","Diddy ya ki bayar da shaida, ya yaba wa alkali yayin da shari'ar cinikin jima'i ta kusa karewa.","Diddy refused to testify, praising the judge as the sex trafficking case was drawing to a close.",0.8376349210739136
'Asibolanga' and all the 2022 beef songs that took the internet by storm.,'Asibolanga' da duk waƙoƙin naman sa na 2022 da suka mamaye intanet.,'Asibolanga' and all its 2022 meat songs that dominate the internet.,0.8630116581916809
'Act now before the situation deteriorates' – NDC Spain branch tells Mahama amid rising 'insecurity’.,"""Ka yi aiki yanzu kafin yanayin ya tabarbare""  NDC Spain reshe ya gaya wa Mahama a cikin karuwar 'rashin tsaro'.","""Act now before the situation gets worse"" NDC Spain branch told Mahama in the midst of increasing 'insecurity'.",0.9025760293006897
Was Jose Mourinho right?: Unpacking the lows of Dele Alli’s football career.,Shin Jose Mourinho yayi daidai?: Fitar da mafi ƙasƙanci na aikin kwallon kafa na Dele Alli.,Is Jose Mourinho right?: The lowest point of Dele Alli's football career.,0.9191363453865051
Rema's Calm Down falls off Billboard Hot 100 after setting new record.,Rema's Calm Down ya fadi daga Billboard Hot 100 bayan kafa sabon rikodin.,Rema's Calm Down dropped from the Billboard Hot 100 after setting a new record.,0.9721180200576782
'I have always wanted a girl' - Rihanna opens up on pressure of raising two sons.,'A koyaushe ina son yarinya' - Rihanna ta buɗe kan matsin lamba na renon 'ya'ya maza biyu.,'I've always liked a girl' - Rihanna reveals the pressures of raising two boys.,0.8436620831489563
Adjusted level 2: Presido announce new restrictions for South Africa to contain Coronavirus.,Mataki na biyu: Shugaban kasa ya sanar da sabbin takunkumi ga Afirka ta Kudu don dakile Coronavirus.,Step 2: The President announces new restrictions for South Africa to contain Coronavirus.,0.7969427108764648
'What kind of nonsense is that?' - Prophet descends on GRNMA.,'Wane irin wauta ce wannan?' - Annabi ya sauka a kan GRNMA.,'What kind of nonsense is this?' - The Prophet landed on GRNMA.,0.9275709390640259
2023 AFCON: Ivory Coast Cote coach slams Nigeria for being overly defensive.,2023 AFCON: Kocin Ivory Coast ya soki Najeriya saboda kasancewa mai kare kai.,2023 AFCON: Ivory Coast coach criticizes Nigeria for being defensive.,0.9345347285270691
DKB and DJ Slim lock horns online.,DKB da DJ Slim sun kulle ƙaho a kan layi.,DKB and DJ Slim have locked the horn online.,0.8564016819000244
"Dr Apostle Amagashie warns men against popular lovemaking position, cites stroke risk.","Dokta Apostle Amagashie ya gargadi maza game da shahararren matsayin soyayya, yana mai ambaton hadarin bugun jini.","Dr. Apostle Amagashie warned men against the popularity of the romantic role, citing the danger of stroke.",0.8817675709724426
Police arrest alleged serial motorbike thief.,'Yan sanda sun kama wani da ake zargin da sata babur.,The police arrested a suspected motorcycle thief.,0.770046591758728
"FIFA imposes transfer ban on Hearts of Oak over unsettled $150,000 debt.","FIFA ta kafa dokar hana Hearts of Oak shiga gasar saboda bashin da ya kai $150,000.","FIFA imposed a ban on Hearts of Oak from the competition due to a debt of $150,000.",0.8836921453475952
'Mickey Mouse' boxer toasts Cape Verde's first Olympic medal.,'Mickey Mouse' dan damben ya sha giya kan lambar yabo ta farko ta Cape Verde.,'Mickey Mouse' boxer drank on the first Cape Verdean title.,0.7364763617515564
APP leader reacts after court throws out injunction against Akwatia by-election.,Shugaban jam'iyyar APP ya mayar da martani bayan kotu ta fitar da umarnin hana zaben na Akwatia.,The APP party leader reacted after the court issued an order to suspend the Akwatia election.,0.7844224572181702
"Igbo leader addresses land acquisition allegations, apologises to Ghanaians.","Shugaban Igbo ya yi magana game da zargin mallakar ƙasa, ya nemi gafara ga 'yan Ghana.","The Igbo chief spoke out about the alleged land grab, apologizing to the Ghanaians.",0.8714584708213806
Bukom Arena gets face-lift to host Basketball games.,Bukom Arena ta samu gyaran fuska don karbar bakuncin wasannin Kwando.,The Bukom Arena has undergone a facelift to host the Basketball matches.,0.9039605855941772
"Afenyo-Markin apologises to Prof Ayensu-Danquah over 'strangely, you get a ministerial appointment' comment.","Afenyo-Markin ta nemi gafara ga Farfesa Ayensu-Danquah kan 'abin mamaki, an nada ka minista' tsokaci.","Afenyo-Markin apologized to Professor Ayensu-Danquah for the 'surprising, you have been appointed minister' comment.",0.8782528638839722
Asawa National Open Championship slated for June 19.,Asawa National Open Championship da aka shirya a ranar 19 ga Yuni.,The Asawa National Open Championship is scheduled for June 19.,0.972741425037384
LIVESTREAMED: Kwaku Dawuro presents The Movement in the Morning Political Show.,KWUW Dawuro ya gabatar da shirin The Movement in the Morning Political Show.,KWUW Dawuro presented the program The Movement in the Morning Political Show.,0.8676603436470032
"'God willing, I will receive my Lamborghini; I have documents to prove it's mine’ - Shatta Wale.","'In Allah ya yarda, zan karbi Lamborghini na; Ina da takardu da za su tabbatar da cewa nawa ne.","'God willing, I will get my Lamborghini; I have documents to prove that it is mine.",0.8361297845840454
"Helicopter Crash: Ibrahim Mahama offers to clear the debts of Dr Murtala, Alhaji Muniru.","Hadarin Jirgin Sama: Ibrahim Mahama ya miƙa kansa don ya biya bashin Dr Murtala, Alhaji Muniru.","Aircraft Accident: Ibrahim Mahama offered to pay the debt of Dr Murtala, Alhaji Muniru.",0.8713518977165222
Tennis legend Rafael Nadal to retire in November.,Shahararren dan wasan tennis Rafael Nadal zai yi ritaya a watan Nuwamba.,The famous tennis player Rafael Nadal will retire in November.,0.9692274928092957
Enforce maternity-friendly workplace policies - Samuel Atidzah.,Ka sanya manufofin aiki masu dacewa da iyaye mata - Samuel Atidzah.,Set career goals that are appropriate for mothers - Samuel Atidzah.,0.5520598292350769
GEC Open returns to Ghana.,GEC Open ta koma Ghana.,The GEC Open has returned to Ghana.,0.9306231737136841
'From dawn raid to helping with investigation to arraignment' - Azar calls out IGP over arrest of NPP activist.,'Daga farkawar asuba zuwa taimakawa a bincike zuwa gurfanarwa' - Azar ya kira IGP kan kama wani mai fafutukar samar da wutar lantarki a NPP.,'From morning waking to assisting in investigation to prosecution' - Azar calls on IGP on arrest of an activist for power generation at NPP.,0.866058349609375
Home-based Ghana players seek more opportunities after good outing against South Africa.,'Yan wasan Ghana na gida suna neman karin dama bayan kyakkyawan fitowarsu da Afirka ta Kudu.,The Ghanaian players are looking for more opportunities after their successful outing against South Africa.,0.9148468971252441
Akwatia By-Election: We cannot be intimidated - NPP’s Haruna Mohammed.,Zabe na Karamin Zabe a Akwatia: Ba za a iya tsoratar da mu ba - Haruna Mohammed na NPP,Minority Elections in Akwatia: We cannot be intimidated - Haruna Mohammed of NPP,0.9087600111961365
Some top Ghanaian musicians who ditched secular music for ministry.,Wasu fitattun mawaƙa na Ghana da suka yi watsi da kiɗa na duniya domin hidima.,Some prominent Ghanaian musicians who gave up secular music for the ministry.,0.9336690902709961
Joseph Awinongya Jr emerges as number 1 boxer in the USA in top 6 u-20 amateur boxers.,Joseph Awinongya Jr ya fito a matsayin dan damben lamba 1 a Amurka a cikin manyan 'yan damben matasa 6 na karkashin 20.,Joseph Awinongya Jr. emerged as the No. 1 boxer in the United States among the top 6 young boxers under 20.,0.9371356964111328
Amenfi Central set for major road overhaul.,Cibiyar Aminifi ta shirya babban gyaran hanya.,The Aminifi Center has planned a major road renovation.,0.5250945091247559
Bui Power nets $64.,Bui Power yana da $64.,The Bui Power is $64.,0.7517335414886475
"GCTU warns against defamatory publications, threatens legal action.","GCTU ta yi gargadin kan wallafe-wallafen batanci, ta yi barazanar daukar matakin shari'a.","The GCTU warned against obscene publications, threatening legal action.",0.8694927096366882
American porn star Nasir sends message to Shugatiti as ‘orgasm’ challenge delays.,Tauraruwar batsa ta Amurka Nasir ta aika sako zuwa Shugatiti yayin da kalubalen orgasm ya jinkirta.,American porn star Nasir sent a message to Shugatiti while the challenge of orgasm was delayed.,0.9401256442070007
I won 'contentious' unannounced 2019 VGMA Artiste of the Year Award - Stonebwoy claims.,Na lashe 'gaggawa' ba tare da sanarwar 2019 VGMA Artist na Kyautar Shekara ba - Stonebwoy yayi ikirarin.,I won the 'sudden' and unannounced 2019 VGMA Artist of the Year Award - Stonebwoy claims.,0.7907105684280396
Helicopter Crash: 'You have not won; Christ has' – Wife of Sergeant Mensah shames death.,Hadarin Jirgin Sama: 'Ba ku ci nasara ba; Kristi ya yi'  Matar Sarkin Sojoji Mensah ta kunyata mutuwa.,Airplane Accident: 'You did not win; Christ did' The Princess Royal Mensah is humiliated by death.,0.677679181098938
'He took me in and mentored me' - Ofori Amponsah delivers a heartfelt tribute to Daddy Lumba.,'Ya karbe ni ya kuma yi min jagora' - Ofori Amponsah ya gabatar da girmamawa ga Daddy Lumba.,'He took me in and guided me' - Ofori Amponsah presents tribute to Daddy Lumba.,0.9525871276855469
'How can I enter a house with familiar spirits' - Appiah Danquah reacts to NPP's amnesty for members.,'Yaya zan iya shiga gidan da ruhohi na saba' - Appiah Danquah ya mayar da martani game da afuwar mambobin NPP.,'How can I enter the house with the spirits of the common people' - Appiah Danquah responded to the apology of the NPP members.,0.8305978178977966
High cholesterol can cause black toes and feet – Health expert.,Hawan cholesterol na iya haifar da yatsun kafa da ƙafafun ƙafa  Masanin kiwon lafiya.,High cholesterol can cause toenails and toenails Health expert.,0.715881884098053
Rev.,Mai girma.,The great.,0.3162459135055542
Ato Forson backs calls for fair deal on Africa's $1.,Ato Forson ya goyi bayan kiran da ake yi na samun adalci kan dala 1 na Afirka.,Ato Forson supported the call for justice on the 1 African dollar.,0.7795978784561157
"Homowo: Nii Okanta Ankrah II calls for unity, peace and teamwork.","Homowo: Nii Okanta Ankrah II na kira ga hadin kai, zaman lafiya da aiki tare.","Homowo: Nii Okanta Ankrah II called for unity, peace and cooperation.",0.9372854232788086
NPP would have still punished Akua Afriyie if she had won – Nana Akomea.,NPP har yanzu za ta hukunta Akua Afriyie idan ta ci Nana Akomea.,The NPP will still punish Akua Afriyie if she defeats Nana Akomea.,0.9123104214668274
A producer told me ‘Agya W’ahwe Me So’ was a terrible song with a horrible video – Rose Adjei.,Wani mai shirya ya gaya mani cewa Agya Wahwe Me So waƙa ce mara kyau tare da mummunan bidiyo  Rose Adjei.,A producer told me that Agya Wahwe Me Love is a bad song with a bad video Rose Adjei.,0.8663353323936462
"NDC grassroots demand answers over helicopter crash, suspect foul play.","Hukumar NDC ta bukaci a ba da amsa kan hatsarin jirgi mai saukar ungulu, ana zargin aikata laifi.","The NDC demanded an answer on the helicopter crash, allegedly a crime.",0.7282009720802307
Key takeaways from EOCO's statement on Shatta Wale's Lamborghini case.,Muhimman bayanai daga bayanin EOCO akan lamarin Lamborghini na Shatta Wale.,Key points from the EOCO statement on the Lamborghini case of Shatta Wale.,0.889212429523468
FDA intercepts GH¢11.,FDA ta kama GH¢11.,The FDA has seized GH¢11.,0.8103885054588318
Editorial by Ghanaian Times: Resolve outstanding issues to stem chaos!!.,Editorial by Ghanaian Times: Ku warware batutuwan da suka rage don dakile rikici!!.,Editorial by Ghanaian Times: Solve the remaining issues to stop the conflict!!.,0.857700526714325
Sharp rise in fire injuries and deaths in first half of 2025 by 33%  – GNFS.,Hawan gagarumin rauni da mutuwar gobara a farkon rabin shekarar 2025 da kashi 33%  GNFS.,The increase in serious injuries and deaths from fires in the first half of 2025 by 33% GNFS.,0.9288668036460876
Why we signed Mohammed Kudus – Tottenham coach Thomas Frank explains.,Dalilin da yasa muka sanya hannu kan Mohammed Kudus  Kocin Tottenham Thomas Frank ya bayyana.,The reason why we signed Mohammed Kudus Tottenham coach Thomas Frank explained.,0.9666236042976379
"'I love women if you don't understand, go to hell' - Old video of Kofi Jumah resurfaces.","'Ina son mata idan ba ku fahimta ba, ku tafi jahannama' - Tsohon bidiyon Kofi Jumah ya sake bayyana.","'I love women if you don't understand, go to hell' - The old video Kofi Jumah re-released.",0.9181299209594727
"Islamic Banking: A financial game changer for all Ghanaians, not just Muslims.","Banki na Musulunci: Wani canji na kudi ga dukkan 'yan Ghana, ba Musulmai kawai ba.","Islamic Banking: A financial change for all Ghanaians, not just Muslims.",0.9772433042526245
Screen-Addiction Among Children: A note to parents.,Sha'awar Wasanni a Tsakanin Yara: Sanarwa ga Iyaye.,The Sports Interest in Children: A Message to Parents.,0.37370041012763977
Why Fatawu Issahaku was not called up by Otto Addo – GFA explains.,Dalilin da yasa Otto Addo bai kira Fatawu Issahaku ba  GFA ya bayyana.,Why Otto Addo did not call Fatawu Issahaku was not explained by GFA.,0.9191290140151978
Agradaa’s parents slam brother for locking out Angel Asiamah from property.,Iyayen Agradaa sun zargi dan uwansa da kulle Angel Asiamah daga dukiya.,Agradaa's parents accused his brother of locking Angel Asiamah out of the property.,0.903264045715332
Ablekuma North Rerun: Ayawaso North MP reacts to alleged journalist assault.,Ablekuma Arewa Rerun: Dan majalisar Ayawaso na Arewa ya mayar da martani kan zargin kai wa 'yan jarida hari.,Ablekuma North Rerun: Northern Ayawaso MP responded to the allegations of attacks on journalists.,0.9320821762084961
"Ghana Armwrestling sends goodwill message to BECE, WASSCE candidates.","Ghana Armwrestling ta aika da sakon kyakkyawar niyya ga BECE, WASSCE 'yan takara.","Ghana Armwrestling has sent a message of goodwill to BECE, WASSCE contestants.",0.9160135388374329
Military officer’s wife begins attempt to break GWR for Longest Reading Aloud Marathon.,Matar jami'in soji ta fara kokarin karya GWR don Marathon mafi tsawo.,The wife of an army officer first tried to break the GWR for the longest marathon.,0.8197636008262634
Sammy Flex speaks after reassignment in Shatta Wale’s management.,Sammy Flex ya yi magana bayan an sake shi a cikin gudanarwar Shatta Wale.,Sammy Flex speaks after his release in the Shatta Wale administration.,0.9121907353401184
Ghanaians shocked by death of President Mills.,Mutanen Ghana sun yi mamakin mutuwar Shugaba Mills.,Ghanaians were shocked by the death of President Mills.,0.9909064173698425
"National Delegates Conference: NPP NEC set to reject petition from Akufo-Addo, Kufuor.","Taron Wakilan Kasa: NPP NEC ta shirya ƙin takardar neman izini daga Akufo-Addo, Kufuor.","National Representative Conference: NPP NEC has prepared to reject the application for a permit from Akufo-Addo, Kufuor.",0.7415978312492371
Ghanaians must see the lessons we have learned - Dr Bawumia.,Dole ne 'yan Ghana su ga darussan da muka koya - Dr Bawumia.,Ghanaians should see the lessons we have learned - Dr Bawumia.,0.9877250790596008
One dead in fire outbreak at uncompleted fuel station near Ejura.,Mutum daya ya mutu a gobarar da ta barke a tashar mai da ke kusa da Ejura.,One person died in a fire at a petrol station near Ejura.,0.8205817937850952
"'Rubbish, on which road?' – Nigeria’s Formula 1 hosting bid sparks backlash on social media.","'Kashe, a wace hanya?'  Taron karbar bakuncin gasar Formula 1 a Najeriya ya janyo mugun martani a shafukan sada zumunta.","'Okay, in what way?' The Formula 1 event hosted in Nigeria attracted a negative response on social media.",0.7734044790267944
'My life changed after the accident' - McBrown speaks after arm surgery.,'Rayuwata ta canza bayan hatsarin' - McBrown ya yi magana bayan tiyata a hannu.,'My life changed after the accident' - McBrown said after the hand surgery.,0.8929450511932373
Democracy Cup: Deputy EC boss calls for participation in curtain-raiser fixtures.,Kofin Demokradiyya: Mataimakin shugaban EC ya yi kira ga shiga cikin abubuwan da ke tayar da labule.,Democracy Cup: The EC's vice president called for participation in events that raise the curtain.,0.7654626369476318
FULL LIST: NPP approves 54 motions at 2025 Delegates Conference.,CIKIN LIST: NPP ta amince da shawarwari 54 a taron wakilai na 2025.,IN LIST: NPP has approved 54 resolutions at the 2025 delegation meeting.,0.7283895611763
Four times Afia Schwar has been embroiled in legal battles.,Sau hudu Afia Schwar ta shiga cikin fadace-fadacen shari'a.,Four times Afia Schwar was involved in legal battles.,0.9516591429710388
LIVESTREAMED: Parliament debates Ablekuma North rerun violence.,Majalisar ta yi muhawara kan tashin hankali a Ablekuma North.,The Council debated the violence in Ablekuma North.,0.6618278622627258
"Appau-Klu denies allegations of land encroachment, abuse of power.","Appau-Klu ya musanta zargin da ake masa na mamaye ƙasa, cin zarafin iko.","Appau-Klu denied the accusations of occupation, abuse of power.",0.853351354598999
Spotlight on Lumba's first 'Yee Ye Aka Akwantuom' album.,Haske a kan kundi na farko na Lumba 'Yee Ye Aka Akwantuom'.,The light on Lumba's first album 'Yee Ye Aka Akwantuom'.,0.9437838792800903
KIA begins enforcing reintroduced COVID-19 measures.,KIA ta fara aiwatar da matakan COVID-19 da aka sake gabatarwa.,KIA has started implementing the re-introduced COVID-19 measures.,0.9044883847236633
BoG puts digital credit services under regulation to boost financial inclusion.,BoG ta sanya ayyukan bashi na dijital a ƙarƙashin tsari don haɓaka haɗin kai na kuɗi.,BoG has put digital lending services under the framework to promote financial integration.,0.7925635576248169
Fatau Dauda confident of Black Stars wins against Chad and Mali.,Fatau Dauda mai tabbacin nasarar Black Stars a kan Chadi da Mali.,Fata David is the guaranteed winner of the Black Stars against Chad and Mali.,0.8351076245307922
'I am committed to continue the legacy of late Dr Murtala Mohammed' – Princess Naama.,'Na kuduri aniyar ci gaba da gadon marigayi Dr Murtala Mohammed'  Gimbiya Naama.,'I am determined to carry on the legacy of the late Dr Murtala Mohammed' Princess Naama.,0.9013301134109497
Watch as M.,Ku yi kallo kamar M.,Look at it like M.,0.7523117661476135
First cholera cases confirmed across three districts in the Ashanti Region.,An tabbatar da farkon cututtukan cutar kwalara a gundumomi uku a yankin Ashanti.,Early cases of cholera have been confirmed in three districts in the Ashanti region.,0.9717045426368713
