text
Aa ɛdan ne mu
Aane no te hɔ
Ab mmɔfra mmienu wɔ
Aba abranteɛ no nkyɛn
Abaa kita ne nsa
Abaa ne akodeɛ bi
Abaaawa bi nso gyina
Abaaayewa baako nso de
Abaamua baako di wɔn
Abaamua baako nso gyina
Abaamua baako ɛka wɔn
Abaamua bi gyina hɔ
Abaamua bi nso ahyɛ
Abaamua bi nso de
Abaamua bi nso te
Abaamua ketewa bi nso
Abaamua ne abaayewa bi
Abaamua no baako nso
Abaamua no hyɛ akokɔsradeɛ
Abaamua no hyɛ atare
Abaamua no hyɛ kyɛw
Abaamua no te so
Abaamuwa baako atu ne
Abaatan no de wɔn
Abaatan no ebinom bobɔ
Abaatan pii ehyia wɔ
Abaatan yi gyina hɔ
Abaawa no hyɛ kɔmmuadeɛ
Abaaweya no ne abɛɛmuwa
Abaayaa bi ne abɔfra
Abaayaa bi nso hyɛ
Abaayaa bi te so
Abaayaa no so kɛntɛn
Abaayewa ahoɔfɛfoɔ ama ne
Abaayewa baako asi ne
Abaayewa baako atwe ne
Abaayewa baako bi ne
Abaayewa baako de krataa
Abaayewa baako de ne
Abaayewa baako gyina wɔn
Abaayewa baako ne maame
Abaayewa baako ne ɔbarima
Abaayewa baako nso de
Abaayewa baako nso hyɛ
Abaayewa baako nso kuta
Abaayewa baako nso ɛhyɛ
Abaayewa bi ahyehyɛ ne
Abaayewa bi akoto wɔ
Abaayewa bi gyina baabi
Abaayewa bi gyina hɔ
Abaayewa bi gyina ne
Abaayewa bi gyina wɔn
Abaayewa bi hyɛ maame
Abaayewa bi ne abarimaa
Abaayewa bi ne aberanteɛ
Abaayewa bi ne abranteɛ
Abaayewa bi ne abɔfra
Abaayewa bi ne maamefoɔ
Abaayewa bi ne mmofra
Abaayewa bi ne mmɔfra
Abaayewa bi ne papafoɔ
Abaayewa bi nso adresse
Abaayewa bi nso gyina
Abaayewa bi nso hyɛ
Abaayewa bi nso kuta
Abaayewa bi nso so
Abaayewa bi nso te
Abaayewa bi nso ɛgyina
Abaayewa bi nso ɛkotow
Abaayewa bi rehwɛ sɛ
Abaayewa bi so nneɛma
Abaayewa bi te fam
Abaayewa bi te ne
Abaayewa bi ɛkoto fam
Abaayewa bi ɛso nneɛma
Abaayewa gyina ne so
Abaayewa ketewa bi de
