text,source,translated,backtranslated
"These are people who certainly have not proved that they are worthy of the trust that we repose in them. As far as this job is concerned, let me also indicate that when it comes to BECE, most of the decisions are taken by the Ghana Education Service. For example, the selection of supervisors and invigilators is done by the district exams officer, he explained. His comments come in the wake of a JoyNews Hotline investigation led by GH Probe’s Francisca Enchil, which uncovered disturbing levels of collusion at examination centres.",news,"[Abantu aba ndiwo osati akupatulapo chisoni chokhulupirira kuti tili nawo. Kwa cholinga cha ntchito iyi, ndiponso ndikunena kuti m'malo a BECE, maphwando ambiri amachitidwa ndi Ghana Education Service. Kwa mfano, kuchagua wasuperviza na wachipani kuli ndi ofisi ya exams ya boma, anati. Maonyo ake anabwera pamene mawu a JoyNews Hotline akupangidwa na Francisca Enchil wa GH Probe, ambayo inaphatikiza viwemi vya kukhazikika kwa mafuko ku ma centre a masulundu.]","[These people are not exempt from the sadness of believing that we have. For the purpose of this post, and to say that in the context of BECE, most parties are hosted by the Ghana Education Service. For example, the selection of the supervisor and the party is by the office of the state exams, he said. His comments came as the JoyNews Hotline was hosted by Francisca Enchil of GH Probe, which incorporated the benefits of the tribal settlement into the school centres.]"
"A variety of socioeconomic and cultural factors were identified as major barriers to accessing and utilizing MHCS. Over half of the women surveyed cited poverty, illiteracy, restrictions from their husbands, the distance to health facilities, and long queues as reasons for not using services. Additionally, over a third of the women pointed to cultural practices within their communities as a cause for delays in seeking care. These findings reveal that addressing maternal health in this region requires more than just improving clinical services; it also means tackling deeply rooted societal and personal challenges that women face daily.",academic,"[Chifukwa chingi cha kijamii na kitamaduni chikagwiliskana kuwa vikwazo vikubwa vya kupata na kutumia MHCS. Zaidi ya nusu ya wanawake waliochunguzwa walisema umasikini, ujuzi duni wa kusoma na kuandika, vikwazo kutoka kwa waume wao, umbali wa vituo vya afya, na mizunguko ndefu kuwa sababu za kutotumia huduma. Zaidi ya hayo, zaidi ya theluthi moja ya wanawake walisema desturi za kitamaduni ndani ya jamii zao kuwa sababu ya kuchelewa kutafuta huduma. Matokeo haya yanafichua kwamba kushughulikia afya ya uzazi katika eneo hili kunahitaji zaidi ya kuboresha tu huduma za kimatibabu; pia inamaanisha kushughulikia changamoto za kijamii na za kibinafsi zinazoshikamana sana ambazo wanawake hukabiliana nazo kila siku.]","[A number of social and cultural factors were cited as the main barriers to accessing and using MHCS. More than half of the women surveyed cited poverty, poor literacy, barriers from their husbands, lack of access to health facilities, and long cycles as reasons for not using the services. Additionally, more than one-third of women cited cultural norms within their communities as a reason for delaying access to services. The results show that addressing reproductive health in this area requires more than just improving medical services; it also means addressing the social and personal challenges that women face on a daily basis.]"
"Despite his shortcomings, Unoka was a talented musician. He was a tall but very thin man with a slight stoop and a mournful look, which would disappear when he was drinking or playing his flute. His happiest moments came in the months after the harvest, when the village musicians would retrieve their instruments from above the fireplace. Unoka would join them, his face filled with pure joy and peace. Sometimes, other villages would invite Unoka and his band to teach them their tunes, and they would stay for several months, sharing their music.",literature,"[Pa nthawi zake zilizo zina, Unoka anali mcheni wa muziki. Analikuwa mwanamume mrefu lakini mwembamba sana na miguu ya kukunja na uso wa kuhuzunika, ambao ungetoweka anapokunywa pombe au kupiga filimbi yake. Muda wake wa furaha zaidi ulikuwa miezi baada ya mavuno, wakati wanamuziki wa kijiji walipokuwa wanachukua ala zao za muziki kutoka juu ya jikoni. Unoka angewaunga, uso wake ukijaa furaha na amani. Mara nyingine, vijiji vingine vilimwita Unoka na bendi yake kufundisha nyimbo zao, na walikaa kwa miezi kadhaa, kushirikiana muziki wao.]","[In his other days, Unoka was a musician. He was a tall but very thin man with slouchy legs and a sad face, which would fade when he drank or played his piano. His happiest time was months after the harvest, when the musicians of the village were taking their musical instruments from the kitchen tops. Unoka would join them, his face filled with joy and peace. At times, other villages invited Unoka and his band to teach their music, and he stayed for several months, sharing their music.]"
"At the Derby Avenue RC Basic School and St. George’s Anglican Basic School in Accra, invigilators were captured openly demanding GH¢60 daily tokens, supervisors pocketed envelopes of GH¢400, and candidates were asked to contribute to an Aseda Offertory. John Kapi stressed that once WAEC provides feedback on such incidents, it is the responsibility of the Ghana Education Service (GES) to take decisive action. And so when these issues come up, once the feedback goes to them, we [WAEC] expect that they would react appropriately and ensure that the right action is taken against the people, he said.",news,"[Pa sukulu ya Derby Avenue RC Basic na St. George’s Anglican Basic ku Accra, invigilators anawonongeka wakati wakulipira tokeni za kila siku za GH¢60, supervisors anapanda envelopu za GH¢400, na wanafunzi wakulipwa kuchangia Aseda Offertory. John Kapi anasema kwamba mara WAEC ikitoa maelezo kuhusu matukio kama hayo, ni wajibu wa Ghana Education Service (GES) kuchukua hatua kali. Na kwa hivyo wakati masuala haya yanapotokea, mara maelezo yanapowapelekea, tuna [WAEC] matarajio kwamba watajibu ipasavyo na kuhakikisha kwamba hatua sahihi inachukuliwa dhidi ya watu hao, anasema.]","[At Derby Avenue RC Basic and St. George's Anglican Basic schools in Accra, invigilators were damaged while paying daily tokens of GH¢60, supervisors broke envelopes of GH¢400, and students were paid to contribute to the Aseda Offertory. John Kapi says that as soon as WAEC releases information about such incidents, it is the responsibility of the Ghana Education Service (GES) to take strict action. And so when these issues are raised, as soon as information is provided to them, we expect [WAEC] to respond appropriately and ensure that appropriate action is taken against these people, he says.]"
"For rural communities in Ghana, especially in the Kumbungu district, access to and use of maternal healthcare services (MHCS) remain a significant challenge. This study set out to explore the specific barriers preventing women from utilizing these services and to evaluate the quality of care provided. The research adopted a mixed-methods approach, combining both quantitative and qualitative data to get a comprehensive view of the situation. This phased design involved surveying 441 pregnant and postpartum women and conducting interviews with 20 healthcare providers. A facility checklist was also used to assess the state of clinics, including the availability of essential drugs and equipment.",academic,"[Mikali ya vya kufupi kwa mizinda ya Ghana, hasa katika wilaya ya Kumbungu, kupata na kutumia huduma za afya za uzazi (MHCS) zinasalia kuwa changamoto kubwa. Utafiti huu ulianza kuchunguza vizuizi maalum vinavyozuia wanawake kutumia huduma hizi na kutathmini ubora wa huduma zinazotolewa. Utafiti huu ulitumia mbinu ya mchanganyiko, ikichanganya data ya kiasi na ubora ili kupata mtazamo mpana wa hali hiyo. Muundo huu ulihusisha kufanya utafiti kwa wanawake wajawazito na baada ya kujifungua 441 na kufanya mahojiano na watoa huduma za afya 20. Orodha ya kituo pia ilitumika kutathmini hali ya klinik, ikiwa ni pamoja na upatikanaji wa dawa muhimu na vifaa.]","[Due to the urbanisation of Ghana, especially in Kumbungu district, access to and use of maternity health services (MHCS) remains a major challenge. This study began by examining the specific barriers that prevent women from accessing these services and assessing the quality of services provided. This study used a hybrid approach, combining quantitative and qualitative data to obtain a broad picture of the situation. This approach involved conducting a survey of 441 pregnant and postpartum women and conducting interviews with 20 health care providers. The centre's inventory was also used to assess the clinical status, including access to essential medicines and equipment.]"
"Okonkwo was a man of great renown throughout his nine villages and even beyond, a fame built entirely on his own remarkable achievements. At just eighteen years old, he brought honor to his village by defeating Amalinze the Cat, a legendary wrestler who had been undefeated for seven years. Amalinze earned his nickname because his back never once touched the earth. The old men of the village considered Okonkwo's victory one of the fiercest fights they had ever seen.",literature,"[Okonkwo anali munthu wa mafumbo kwambiri ndi malo gha maboma ghake tisa ndipo pafupi, mafumbo ghakusangika kwa njira zake zikulu zikulu. Kwa miaka 18, anali ndi mphongo wa kuchita maboma ghake kwa kushinda Amalinze Mnyama, mphambi wakulu ambaye anali asangikwe kwa miaka 7. Amalinze anali ndi mphongo wa kuchita kwa sababu mabili ghake anali asangikwe kwa nthawi yosi kufika chisi. Agha a maboma anali ndi mphongo wa kuchita kwa Okonkwo kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sababu anali ndi mphongo wa kuchita kwa sab","[Okonkwo was a very controversial man with the location of his nine governments and nearby, controversial locations for his great great ways. For 18 years, he had the pride of doing his governments by defeating Amalinze Mnyama, the great fruit who had been unprepared for seven years. Amalinze had the pride of doing because his wheels had been unprepared for all the time to reach the chassis. These governments had the pride of doing for Okonkwo because he had the pride of doing because he had the pride of doing because he had the pride of doing because he had the pride of doing because he had the pride of doing because he had the pride of doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and doing and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so and so"
"Muntaka assured the committee of full logistical and secretariat support from the Ministry and urged them to partner with civil society organizations, development partners, and faith-based institutions in carrying out their work. He described the task as heavy but honorable, stressing that the people of Gbenyiri and surrounding communities were looking up to the committee as instruments of peace, reconciliation, and healing.",news,"[Muntaka wakumbuska kamati ya kupewa usaidizi kamili wa kimuundo na usaidizi wa sekretariati kutoka kwa Wizara na wakawaomba kuunganisha nguvu na mashirika ya kiraia, washirika wa maendeleo, na taasisi za kidini katika kufanya kazi yao. Akielezea kazi hiyo kama nzito lakini ya heshima, akisisitiza kwamba watu wa Gbenyiri na jamii zinazozunguka walikuwa wakimtazama kamati kama zana za amani, upatanisho, na uponyaji.]","[The ground reminds the committee to avoid full structural and secretarial support from the Ministry and asks them to join forces with civil society organizations, development partners, and religious institutions in carrying out their work. Describing the task as a difficult but honourable one, stressing that the people of Gbeniri and surrounding communities were looking to the committee as a platform for peace, reconciliation, and reconciliation.]"
"The study also shed light on significant facility-based challenges that compromise the quality of care. A key issue was the inadequate number of midwives, which likely contributes to the long queues women reported. Additionally, the absence of essential equipment and drugs was a major problem. For example, health service providers specifically recommended a greater number of trained midwives and the provision of critical logistics like ultrasound machines and proper delivery equipment to ensure effective and high-quality care.",academic,"[Chifukwa chake, kalasi iliyesambaza mwanga kwenye changamoto za msingi za kituo ambazo zinadhoofisha ubora wa huduma. Jambo la msingi lilikuwa idadi isiyo ya kutosha ya akabbi, ambayo ina uwezekano wa kuchangia katika mizunguko ndefu ya wanawake waliripoti. Zaidi ya hayo, kutokuwepo kwa vifaa muhimu na dawa ilikuwa tatizo kubwa. Kwa mfano, watoa huduma za afya haswa walipendekeza idadi kubwa ya akabbi waliofunzwa na utengenezaji wa mbinu muhimu kama vile mashine za ultrasound na vifaa vya kutosha vya kujifungulia ili kuhakikisha huduma zenye ufanisi na ubora wa juu.]","[Thus, the class shed light on the basic challenges of the facility that undermined the quality of care. The primary issue was the insufficient number of akabbi, which is likely to contribute to the long cycles of women reporting. Additionally, the lack of essential equipment and medication was a major problem. For example, the healthcare provider specifically recommended the large number of trained akabbi and the development of key techniques such as ultrasound machines and sufficient self-contained equipment to ensure efficient and high-quality care.]"
"Okonkwo was an imposing figure, tall and massive with a severe expression, a result of his bushy eyebrows and wide nose. His breathing was so heavy that his family could hear it from their own houses when he slept. When he walked, his heels barely touched the ground, making him seem poised to pounce on someone—which he often did. He had a slight stammer, and in moments of anger, he would resort to his fists when words failed him. He had no patience for men who were not successful, and this sentiment stemmed from his deep-seated shame for his own father.",literature,"[Okonkwo anali mtu wakubwa, mrefu na mkubwa na uso wa kutisha, chanzo chake kilikuwa kwenye mabega yake ya nywele na pua pana. Kupumua kwake kilikuwa kubwa sana kwamba familia yake ilikuwa inaweza kusikia kutoka kwenye nyumba zao wakati alipokuwa amelala. Wakati alipokuwa akitembea, viatu vyake havikuwa vikigusa ardhini, na kuifanya ionekane kama anayeyumba kwa mtu fulani—jambo ambalo mara nyingi alilifanya. Alikuwa na kikohozi kidogo, na katika nyakati za hasira, alizoea kutumia mikono yake wakati maneno yalishindwa kumfanya. Hakuna subira kwa wanaume ambao hawakuwa na mafanikio, na hisia hii ilichukua asili yake kutoka kwa aibu yake ya kina kwa ajili ya baba yake mwenyewe.]","[Okonkwo was a big, tall and large man with a fearsome face, his source was on his shoulders hair and a wide nose. His breathing was so deep that his family could hear it from their homes when he was sleeping. When he was walking, his shoes would not touch the ground, making it look like he was yelling at someone - a word he often did. He had a slight cough, and in times of anger, he used to use his hands when words failed to get through to him. There was no patience for men who did not have it, and this feeling originated from his deep shame for his father's failure to care for himself.]"
"The West African Examinations Council (WAEC) says officials implicated in acts of corruption during the Basic Education Certificate Examination (BECE) will be blacklisted from ever taking part in its activities again. Speaking on JoyNews’ PM Express on September 8, WAEC’s Director of Public Affairs, John Kapi, said the Council cannot continue to work with individuals who have betrayed the trust placed in them during national examinations.",news,"[Baraza la Mitihani la Afrika ya Kusini (WAEC) linasema maafisa waliohusika na vitendo vya rushwa wakati wa Mitihani ya Shahada ya Elimu ya Msingi (BECE) watapigwa marufuku kushiriki katika shughuli zake tena. Akizungumza kwenye PM Express ya JoyNews mnamo Septemba 8, Mkurugenzi wa Masuala ya Umma wa WAEC, John Kapi, alisema Baraza haliwezi kuendelea kufanya kazi na watu binafsi ambao wamesaliti imani iliyowekwa kwao wakati wa mitihani ya kitaifa.]","[The South African Examinations Council (WAEC) says officials involved in acts of corruption during the Basic Education Certificate Examinations (BECE) will be banned from participating in its activities again. Speaking on JoyNews' PM Express on September 8, the WAEC's Director of Public Affairs, John Kapi, said the Council cannot continue to work with individuals who have betrayed their trust during national exams.]"
